Area,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,EVI,LAI,FPAR,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,LST_C,is_extreme_Heat_Stress_Days,is_extreme_Wind_Max,Yield
259,Bagerhat,Rabi,17.75,55.0,Wheat,December,Jan To March,April,200.0,20,15.5,65,50,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2675,0.3651,0.0976,1.4035,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,0.7722007722007722
421,Bagerhat,Rabi,20.5,60.0,Maize 2,December,Jan To March,April,946.0,27,14.0,70,50,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2675,0.3651,0.0976,1.4035,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,2.2470308788598574
145439,Bagerhat,Rabi,26.0,72.5,Boro,November,Dec To March,April,268754.0,40,12.0,85,60,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2935,0.3855,0.092,1.3611,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,1.8478812423077717
627,Bagerhat,Rabi,20.5,80.0,Sweet Potato,November,Dec To March,April,2200.0,24,17.0,90,70,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2935,0.3855,0.092,1.3611,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,3.508771929824561
383,Bagerhat,Kharif 1,31.5,70.0,Mango,April,April To May,April To June,1913.0,36,27.0,90,50,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2769,0.3438,0.0669,1.3033,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,4.994778067885117
95,Bagerhat,Kharif 1,34.5,82.5,Jack Fruit,April,April To May,April To June,2538.0,47,22.0,95,70,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2769,0.3438,0.0669,1.3033,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,26.71578947368421
90,Bagerhat,Kharif 1,30.0,80.0,Ripe Papaya,April,April To May,April To May,1026.0,35,25.0,90,70,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2261,0.3062,0.0802,1.4032,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,11.4
14355,Bagerhat,Kharif 1,26.0,72.5,Aus,March,April To July,Aug,16061.0,40,12.0,85,60,0.3081769511973575,1.8112869864403789,0.41694419034076313,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3172,0.3861,0.0689,1.2834,Optimal,656.33,42.5,2.48188524590164,5.86,22.73,High Risk,1,28.431973387990638,1,0,1.118843608498781
880,Bagerhat,Rabi,25.5,87.5,Karala,February,March To July,Aug To Sep,1220.0,27,24.0,90,85,0.3116314170521451,2.4183504530287765,0.6314994967167126,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3362,0.4041,0.068,1.2621,Optimal,220.43,0.0,1.4529166666666666,4.33,11.23,Low Risk,0,24.14452499799603,0,0,1.3863636363636365
852,Bagerhat,Kharif 2,29.0,65.0,Sugarcane,October,Nov To Aug,Aug To Sep,9133.0,38,20.0,85,45,0.3431915358837492,2.4183504530287765,0.5780086386688027,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.249999999999996,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3557,0.423,0.0673,1.2326,Optimal,1451.65,0.0,2.063739837398374,7.47,52.27,Low Risk,0,27.00712075135027,0,0,10.719483568075118
