ADM1_NAME,ADM2_NAME,month,ssm,susm,year
Barisal,Barisal,1,7.664554782565256,46.9765492254622,2022
Barisal,Bhola,1,12.295894015898302,41.29407129433796,2022
Barisal,Jhalokati,1,5.579512420204259,35.27246911396352,2022
Barisal,Patuakhali,1,11.257939405491754,33.116305347505026,2022
Barisal,Pirojpur,1,6.411849089864013,39.5900672562302,2022
Chittagong,Bandarban,1,3.9210609416053113,28.343296305782715,2022
Chittagong,Brahamanbaria,1,6.650536599527411,40.75173883871357,2022
Chittagong,Chandpur,1,5.755438239389177,34.90209626829303,2022
Chittagong,Chittagong,1,8.092219810561831,33.080679657672626,2022
Chittagong,Comilla,1,8.457573050589513,52.10867620384279,2022
Chittagong,Cox's Bazar,1,12.909749523252136,20.53209097771777,2022
Chittagong,Feni,1,11.390096312496182,57.20458227517774,2022
Chittagong,Khagrachhari,1,7.944907599333418,49.19466398603245,2022
Chittagong,Lakshmipur,1,8.934889054120033,52.9120935801556,2022
Chittagong,Noakhali,1,16.080531267070914,51.68526306734083,2022
Chittagong,Rangamati,1,4.134634505886456,27.378949993452846,2022
Dhaka,Dhaka,1,8.021407015135594,52.68456069403984,2022
Dhaka,Faridpur,1,9.416816028656832,61.32386844943654,2022
Dhaka,Gazipur,1,9.851056393718816,77.91532516248066,2022
Dhaka,Gopalganj,1,8.126611733039997,61.84967829989829,2022
Dhaka,Jamalpur,1,4.029465705032407,24.131478338380358,2022
Dhaka,Kishoreganj,1,6.103470177200204,38.81630340621793,2022
Dhaka,Madaripur,1,6.416158220423766,41.60552405418917,2022
Dhaka,Manikganj,1,8.6197047439041,51.47115578006922,2022
Dhaka,Munshiganj,1,6.411693218134056,39.14309222323955,2022
Dhaka,Mymensingh,1,5.303150253156651,35.08218723281786,2022
Dhaka,Narayanganj,1,6.638563706307294,46.24391786599689,2022
Dhaka,Narsingdi,1,7.786024297445587,55.99069518238771,2022
Dhaka,Netrakona,1,5.329645672223388,35.933539275803476,2022
Dhaka,Rajbari,1,11.207910445375557,70.720427455052,2022
Dhaka,Shariatpur,1,5.705766182373557,36.47625763790577,2022
Dhaka,Sherpur,1,4.8914848536807405,28.91290339821913,2022
Dhaka,Tangail,1,7.5835463975751125,51.216790265210335,2022
