Season,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,District,Year
Kharif 2,1080.92,27.736341463414636,34.2,18.34,0,Khulna,2022
Rabi,127.00999999999999,19.337083333333332,30.76,7.52,0,Khulna,2022
Kharif 1,1512.93,28.173934426229508,39.96,15.25,45,Kishoreganj,2022
Kharif 2,1317.39,27.771138211382112,34.22,17.91,0,Kishoreganj,2022
Rabi,79.21,19.376166666666666,30.48,8.63,0,Kishoreganj,2022
Kharif 1,1572.26,27.49467213114754,37.59,13.55,17,Kurigram,2022
Kharif 2,993.02,27.780162601626017,34.92,17.93,0,Kurigram,2022
Rabi,82.39,18.507833333333334,29.15,7.75,0,Kurigram,2022
Kharif 1,638.57,29.175901639344264,42.43,15.23,53,Kushtia,2022
Kharif 2,984.86,27.91,34.38,19.25,0,Kushtia,2022
Rabi,91.4,19.205083333333334,30.12,7.92,0,Kushtia,2022
Kharif 1,897.09,28.29688524590164,38.75,16.37,34,Lakshmipur,2022
Kharif 2,1311.3799999999999,27.853658536585368,32.95,19.15,0,Lakshmipur,2022
Rabi,130.03,19.78575,29.93,9.59,0,Lakshmipur,2022
Kharif 1,1572.26,27.49467213114754,37.59,13.55,17,Lalmonirhat,2022
Kharif 2,993.02,27.780162601626017,34.92,17.93,0,Lalmonirhat,2022
Rabi,82.39,18.507833333333334,29.15,7.75,0,Lalmonirhat,2022
Kharif 1,668.3100000000001,28.977213114754097,42.19,15.6,56,Madaripur,2022
Kharif 2,1238.15,27.71390243902439,33.63,18.56,0,Madaripur,2022
Rabi,149.59,19.406916666666667,30.54,7.96,0,Madaripur,2022
Kharif 1,558.92,29.277131147540985,43.33,15.19,58,Magura,2022
Kharif 2,996.1999999999999,27.804227642276423,34.21,18.74,0,Magura,2022
Rabi,101.19,19.232916666666664,30.32,7.6,0,Magura,2022
Kharif 1,841.36,28.802213114754096,41.68,15.46,49,Manikganj,2022
Kharif 2,1117.67,27.834796747967477,33.61,18.75,0,Manikganj,2022
Rabi,91.45,19.445333333333334,30.56,8.4,0,Manikganj,2022
Kharif 1,424.36,29.869180327868854,43.6,15.07,77,Meherpur,2022
Kharif 2,762.83,28.1239837398374,36.28,18.19,9,Meherpur,2022
Rabi,80.82000000000001,19.014499999999998,30.41,7.46,0,Meherpur,2022
Kharif 1,2078.94,27.40467213114754,36.89,13.58,15,Moulvibazar,2022
Kharif 2,1626.4,27.889105691056912,35.28,17.48,2,Moulvibazar,2022
Rabi,83.51,19.111666666666668,30.34,8.06,0,Moulvibazar,2022
Kharif 1,896.28,28.457131147540984,40.07,15.89,41,Munshiganj,2022
Kharif 2,1147.69,27.867154471544715,33.03,18.76,0,Munshiganj,2022
Rabi,96.21,19.6385,30.15,9.31,0,Munshiganj,2022
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,Mymensingh,2022
Kharif 2,1391.11,27.504552845528455,34.86,18.34,0,Mymensingh,2022
Rabi,80.15,19.223333333333336,29.93,7.98,0,Mymensingh,2022
Kharif 1,596.69,29.190573770491802,42.27,13.63,68,Naogaon,2022
Kharif 2,783.3,27.9830081300813,35.83,17.28,4,Naogaon,2022
Rabi,73.46000000000001,18.282833333333333,30.31,7.21,0,Naogaon,2022
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,Narail,2022
Kharif 2,1391.11,27.504552845528455,34.86,18.34,0,Narail,2022
Rabi,80.15,19.223333333333336,29.93,7.98,0,Narail,2022
Kharif 1,896.28,28.457131147540984,40.07,15.89,41,Narayanganj,2022
Kharif 2,1147.69,27.867154471544715,33.03,18.76,0,Narayanganj,2022
Rabi,96.21,19.6385,30.15,9.31,0,Narayanganj,2022
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,Narsingdi,2022
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,Narsingdi,2022
Rabi,82.23,19.610583333333334,30.39,8.94,0,Narsingdi,2022
Kharif 1,471.39,29.696393442622952,42.83,14.55,72,Natore,2022
Kharif 2,772.89,28.147723577235773,36.56,17.79,8,Natore,2022
Rabi,75.78,18.654,30.4,7.51,0,Natore,2022
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,Netrokona,2022
Kharif 2,1391.11,27.504552845528455,34.86,18.34,0,Netrokona,2022
Rabi,80.15,19.223333333333336,29.93,7.98,0,Netrokona,2022
Kharif 1,1334.64,27.742622950819673,38.63,13.13,28,Nilphamari,2022
Kharif 2,1114.52,27.576422764227644,34.74,17.2,0,Nilphamari,2022
Rabi,73.57000000000001,17.97491666666667,29.3,7.09,0,Nilphamari,2022
Kharif 1,1243.4,28.06844262295082,32.74,18.65,0,Noakhali,2022
Kharif 2,1533.16,28.594471544715446,32.77,21.78,0,Noakhali,2022
Rabi,112.63,21.486333333333334,29.56,12.97,0,Noakhali,2022
Kharif 1,638.57,29.175901639344264,42.43,15.23,53,Pabna,2022
Kharif 2,984.86,27.91,34.38,19.25,0,Pabna,2022
Rabi,91.4,19.205083333333334,30.12,7.92,0,Pabna,2022
Kharif 1,1568.31,27.179262295081966,37.17,14.66,17,Panchagar,2022
Kharif 2,1342.09,27.189674796747966,33.52,17.55,0,Panchagar,2022
Rabi,64.71000000000001,18.49683333333333,28.88,8.75,0,Panchagar,2022
Kharif 1,1663.21,28.106803278688528,33.74,19.66,0,Patuakhali,2022
Kharif 2,2272.77,28.43642276422764,31.57,21.83,0,Patuakhali,2022
Rabi,270.62,21.403833333333335,29.2,13.89,0,Patuakhali,2022
Kharif 1,656.33,28.878196721311475,41.26,16.01,54,Pirojpur,2022
Kharif 2,1451.65,27.76869918699187,33.57,18.56,0,Pirojpur,2022
Rabi,220.42999999999998,19.631500000000003,30.58,8.35,0,Pirojpur,2022
Kharif 1,558.92,29.277131147540985,43.33,15.19,58,Rajbari,2022
Kharif 2,996.1999999999999,27.804227642276423,34.21,18.74,0,Rajbari,2022
Rabi,101.19,19.232916666666664,30.32,7.6,0,Rajbari,2022
Kharif 1,471.39,29.696393442622952,42.83,14.55,72,Rajshahi,2022
Kharif 2,772.89,28.147723577235773,36.56,17.79,8,Rajshahi,2022
Rabi,75.78,18.654,30.4,7.51,0,Rajshahi,2022
Kharif 1,1205.62,27.631311475409834,36.72,15.16,4,Rangamati,2022
Kharif 2,1450.75,28.04821138211382,34.55,19.76,0,Rangamati,2022
Rabi,98.78,20.408583333333336,31.75,9.62,0,Rangamati,2022
Kharif 1,1198.2,28.210163934426227,38.3,13.81,31,Rangpur,2022
Kharif 2,910.51,27.91861788617886,34.91,18.29,0,Rangpur,2022
Rabi,85.09,18.74625,29.18,7.74,0,Rangpur,2022
Kharif 1,441.07,29.42827868852459,42.85,15.91,64,Satkhira,2022
Kharif 2,1252.47,27.811544715447155,33.81,18.59,0,Satkhira,2022
Rabi,158.44,19.825916666666668,32.43,8.31,0,Satkhira,2022
Kharif 1,897.09,28.29688524590164,38.75,16.37,34,Shariatpur,2022
Kharif 2,1311.3799999999999,27.853658536585368,32.95,19.15,0,Shariatpur,2022
Rabi,130.03,19.78575,29.93,9.59,0,Shariatpur,2022
Kharif 1,1278.22,28.156967213114754,38.88,14.97,37,Sherpur,2022
Kharif 2,1091.34,27.750406504065044,34.86,18.48,0,Sherpur,2022
Rabi,82.59,19.200833333333332,29.93,8.25,0,Sherpur,2022
Kharif 1,1038.79,28.663278688524592,41.07,15.07,48,Sirajganj,2022
Kharif 2,1132.42,27.871463414634146,34.22,18.47,0,Sirajganj,2022
Rabi,85.72,19.216583333333332,30.4,8.23,0,Sirajganj,2022
Kharif 1,3216.48,26.80155737704918,36.2,14.8,5,Sunamganj,2022
Kharif 2,1911.12,27.572357723577237,34.39,18.74,0,Sunamganj,2022
Rabi,91.4,19.216166666666666,30.9,9.17,0,Sunamganj,2022
Kharif 1,2078.94,27.40467213114754,36.89,13.58,15,Sylhet,2022
Kharif 2,1626.4,27.889105691056912,35.28,17.48,2,Sylhet,2022
Rabi,83.51,19.111666666666668,30.34,8.06,0,Sylhet,2022
Kharif 1,1038.79,28.663278688524592,41.07,15.07,48,Tangail,2022
Kharif 2,1132.42,27.871463414634146,34.22,18.47,0,Tangail,2022
Rabi,85.72,19.216583333333332,30.4,8.23,0,Tangail,2022
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,Thakurgaon,2022
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,Thakurgaon,2022
Rabi,82.23,19.610583333333334,30.39,8.94,0,Thakurgaon,2022
