ADM1_NAME,ADM2_NAME,NDVI_Month_1,NDVI_Month_2,NDVI_Month_3,NDVI_Month_4,NDVI_Month_5,NDVI_Month_6,NDVI_Month_7,NDVI_Month_8,NDVI_Month_9,NDVI_Month_10,NDVI_Month_11,NDVI_Month_12,NDVI_early,NDVI_mid,NDVI_late,NDVI_std,NDVI_prev_season
Barisal,Barisal,0.4695001468654929,0.49069734129720294,0.5266822974500289,0.5236327096753893,0.43165980561879014,0.42731410633072,0.5042752838137254,0.5009170112569521,0.5195360817539716,0.6495909820418134,0.6122091127730966,0.4712937073635317,0.4905598022440132,0.46295652342425836,0.5252701879465961,0.1272939595425023,0.46993964170106484
Barisal,Bhola,0.40894309251929817,0.4006038117057785,0.4134055800593035,0.4079448944168571,0.3469682077526876,0.33144124567562994,0.4362554112363132,0.36493243945673914,0.4819693850135392,0.613642968852074,0.5787009494642548,0.3857264693300019,0.37142537187943825,0.3578585766383424,0.4421831897915138,0.12266833602114788,0.3548815136701906
Barisal,Jhalokati,0.5172441526448517,0.5307419265336851,0.5918776904745635,0.6013461782065573,0.5915150319081957,0.5556162139706045,0.6093147855605535,0.5742194881457896,0.6162729570937393,0.7630927287182836,0.7455652189485399,0.5890477099403465,0.5599994995322111,0.582565755534609,0.6653874274440017,0.12768531602269245,0.583124067577353
Barisal,Patuakhali,0.3850180996531678,0.3696605492259212,0.43463644663435846,0.4831995694776004,0.4371184733037267,0.40033131335246924,0.46567894775967084,0.41029380813888144,0.5583437379590079,0.6952606704632099,0.6686099215729517,0.4717632997736285,0.41447854763868647,0.42661993851401614,0.5741496024420206,0.14942065555083406,0.43928129157145285
Barisal,Pirojpur,0.515138307516034,0.5383718504719301,0.5764489769106264,0.5629009771873854,0.5086891294218909,0.518686550200408,0.580819132454343,0.5465652915535805,0.5958689562088125,0.7328914419308868,0.6991330920596396,0.5608384550599027,0.5476834409557956,0.5378917449588196,0.6320047875701345,0.1301186761547475,0.5436275183010179
Chittagong,Bandarban,0.7907466336626936,0.7134717101455155,0.6139115036260904,0.6092404387781282,0.7132519205561861,0.6959113448645268,0.8065330014841897,0.7829525067672587,0.8459600850723058,0.8677042215693366,0.8524577227594036,0.8176269520171152,0.6818425715531096,0.7496644980250704,0.8428284128872221,0.12969278098279655,0.7107250545125808
Chittagong,Brahamanbaria,0.4609748713740724,0.5850634251080703,0.6530491569522233,0.5448915610010227,0.3586319092433925,0.34026328969696845,0.43606311620067895,0.4348583810502722,0.5466234427871324,0.6053631846744684,0.536721872882218,0.40764919527276516,0.5610137241139369,0.390944446999581,0.49968848682904954,0.17821189172791935,0.5007508839581013
Chittagong,Chandpur,0.5375675040969546,0.5698468985202438,0.5692571989100993,0.5120944995729447,0.4564145854797855,0.4116913009794354,0.5663760226289004,0.5232195360986996,0.562788241974993,0.6812754635128238,0.6109179437427879,0.45840166006092975,0.530349102178463,0.48527198289111,0.525535774020768,0.13329687287523706,0.49454922790518
Chittagong,Chittagong,0.5849873826382793,0.5571749399897874,0.5685565829718,0.5607441768611429,0.6247247558026925,0.5526576349001022,0.6548458571253608,0.6619623566935325,0.7440656193233647,0.7811966327733205,0.6931865361967905,0.5954536235266985,0.5666755152119779,0.6221770135998163,0.689850038487787,0.1245292837684187,0.5791373612361111
Chittagong,Comilla,0.5438106834973415,0.5782952102441307,0.6448740303134163,0.588709395976051,0.4982221740830094,0.509879024964701,0.6455288622328809,0.5832714137925634,0.646290493063233,0.7210923176191942,0.632654905858341,0.49628876780047404,0.5889219805800283,0.5590493203046882,0.609650377336392,0.13891909248304846,0.5608104299251978
Chittagong,Cox's Bazar,0.5546083103136197,0.5455032193774288,0.5562235427996705,0.5193703202239276,0.480393583792711,0.4934584234186891,0.5812990589437723,0.5679653982900977,0.7053857104975265,0.7413369539954423,0.6583630938140335,0.571840562154692,0.5360857688151601,0.5184223911579096,0.646159561167875,0.13418869656796878,0.5304606335533475
Chittagong,Feni,0.5402654956486793,0.5410606609551172,0.6080247979341058,0.5704076690632585,0.6198598647560895,0.5270466099180744,0.6027238978300882,0.6814984341536776,0.7429442861290237,0.7818996735740699,0.6522922846818316,0.5201467147762134,0.5645851684004838,0.607402594892684,0.6581706954673829,0.13467975423032238,0.5613052959038503
Chittagong,Khagrachhari,0.7350543472595765,0.6780963771227074,0.6065110063693466,0.6126826645238643,0.7046509710891314,0.644788985982292,0.7635232313547025,0.7807528774935657,0.8099291295159445,0.8519413478030692,0.8108993904219367,0.740324458943729,0.6580860988188773,0.7234262003121827,0.7963207837517773,0.12771006283852235,0.693084980543071
Chittagong,Lakshmipur,0.5012541213539381,0.465234267637026,0.5251389749948074,0.5172088129751938,0.40063714546305407,0.4121753840084681,0.5059371004497273,0.504122301304315,0.6205317135552249,0.6742374636100583,0.6352708958511081,0.4674040635446205,0.4829095801374363,0.4496028937242585,0.5486682953131427,0.13025171060682847,0.45341519300776384
Chittagong,Noakhali,0.5350619992638765,0.5434313287918984,0.5689871090013682,0.5026890605224782,0.5015536631964926,0.41511470548729845,0.5791385145187452,0.5825421253657175,0.6701747082458623,0.7384989400560489,0.6364302067659579,0.5036898404756618,0.5301396225119662,0.5153902981954598,0.6130271311071217,0.14307434956757747,0.5158681378996872
Chittagong,Rangamati,0.753374871951439,0.6729377035482426,0.59142239062967,0.5904212476377412,0.6380830365782266,0.6585018422194736,0.7657733506556735,0.749973121423889,0.8026041146690329,0.8190921500443369,0.8120821917880713,0.7709627494189863,0.650317671878983,0.7026790215110253,0.7960557855019296,0.1336093690217888,0.6851468253332378
Dhaka,Dhaka,0.471932955092888,0.4715287307438477,0.5007173390504942,0.49855489483569004,0.3719511459013479,0.4329043099201827,0.5020814562583512,0.5058198361075285,0.5360392301992838,0.5538362113978741,0.49342448089153707,0.44453220614799305,0.48474352727316283,0.4531065253362464,0.4944511294225561,0.12061083027242103,0.4660787857482673
Dhaka,Faridpur,0.5314691041218551,0.5449574333481131,0.525471116112632,0.5229217463747221,0.5623451001328782,0.5310179674980248,0.5121516093879629,0.5434331809788222,0.6253189754222994,0.6384705317474677,0.5352162502470507,0.47242032070305656,0.5304533460827299,0.5370875791536021,0.5549290088899707,0.13250808667715583,0.5138867107600692
Dhaka,Gazipur,0.52698277006235,0.5651448229011018,0.5857790384778874,0.5823399429930188,0.44907170584733846,0.4874101293297519,0.601851360106315,0.5794898924921743,0.6611601499251768,0.7057728499688884,0.6512932249487684,0.5421032071323274,0.5650616436085876,0.5294325726732948,0.6304986707215173,0.14491813746899904,0.553250979073687
Dhaka,Gopalganj,0.553103172279733,0.6065073429091975,0.6696107390936833,0.6293889474840063,0.4850929524291482,0.5786362419388662,0.6329851541862821,0.6219168031948877,0.6647051546343661,0.685772094768549,0.6206248832035626,0.49401882014228393,0.6146558690942001,0.5796560801987223,0.6063542764300537,0.12887818560346778,0.5689942716867661
Dhaka,Jamalpur,0.46255848700996055,0.4666872989525905,0.6046276831520957,0.5426016152451015,0.41491779852905286,0.3703552050795414,0.466049557946447,0.5166233344119736,0.5815576224225372,0.6828383685589765,0.5702123130640878,0.49157507905121045,0.5190224756269235,0.44200011227939656,0.5637450770927134,0.15951623936062728,0.5042751181399857
Dhaka,Kishoreganj,0.44585505511191237,0.6204596983037001,0.6718806894945034,0.538401581549111,0.2339280916528103,0.17975908454541045,0.2886739279952012,0.29323859178682604,0.4717546185517056,0.6115601932707585,0.41844049305222764,0.38420003649568596,0.5691663196175996,0.23850412087369596,0.40886391537945055,0.2282751214175436,0.45548791852781473
Dhaka,Madaripur,0.5645277235046068,0.587158933322407,0.5561452558367378,0.5359411149978637,0.5233561098091399,0.5104234623823602,0.5702508595108114,0.5755826177401469,0.6233175223366367,0.6447880012996011,0.5545792164766317,0.4922047387065264,0.554454493878443,0.5443485522402927,0.5525209666144341,0.12028529357751042,0.5231898619494698
Dhaka,Manikganj,0.553582073707909,0.47991288955361117,0.49891069937998445,0.5203700989585119,0.43613421603032154,0.4298423941034815,0.49437269674680157,0.5060221316727879,0.5183844224542299,0.5631320605779804,0.46851426102303007,0.511962986559924,0.507353235423565,0.4664522381059355,0.48932780659066544,0.12229164238581554,0.46544392818830793
