Season,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,District,Year,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat
Kharif 1,3216.48,26.80155737704918,36.2,14.8,5,1.693032786885246,6.12,0.11,Sunamganj,2022,21.4,6.01,120.01,Moderate Risk,0
Kharif 2,1911.12,27.57235772357724,34.39,18.74,0,1.5008943089430895,5.89,0.1,Sunamganj,2022,15.65,5.79,69.31,Low Risk,0
Rabi,91.4,19.216166666666663,30.9,9.17,0,1.1945,3.59,0.04,Sunamganj,2022,21.73,3.55,4.76,Low Risk,0
Kharif 1,2078.94,27.40467213114754,36.89,13.58,15,1.5492622950819672,4.69,0.09,Sylhet,2022,23.31,4.6,75.86,Moderate Risk,0
Kharif 2,1626.4,27.889105691056912,35.28,17.48,2,1.23,5.03,0.02,Sylhet,2022,17.8,5.01,58.31,Moderate Risk,0
Rabi,83.51,19.111666666666668,30.34,8.06,0,0.9328333333333332,3.7,0.01,Sylhet,2022,22.28,3.69,4.37,Low Risk,0
Kharif 1,1038.79,28.663278688524592,41.07,15.07,48,2.3401639344262297,6.82,0.09,Tangail,2022,26.0,6.73,36.24,High Risk,1
Kharif 2,1132.42,27.871463414634142,34.22,18.47,0,2.0767479674796747,7.64,0.06,Tangail,2022,15.75,7.58,40.63,Low Risk,0
Rabi,85.72,19.21658333333333,30.4,8.23,0,1.3789166666666666,4.37,0.01,Tangail,2022,22.17,4.36,4.46,Low Risk,0
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,2.537540983606557,6.3,0.09,Thakurgaon,2022,25.43,6.21,36.58,High Risk,1
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,1.9920325203252036,7.4,0.04,Thakurgaon,2022,15.44,7.36,40.9,Low Risk,0
Rabi,82.23,19.61058333333333,30.39,8.94,0,1.2454166666666666,3.9,0.06,Thakurgaon,2022,21.45,3.84,4.19,Low Risk,0
