Season,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,District,Year,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat
Kharif 1,1987.35,27.71319672131148,31.21,19.08,0,3.1152459016393443,6.25,0.16,CoxsBazar,2022,12.13,6.09,71.71,Low Risk,0
Kharif 2,2423.67,28.44813008130081,31.15,24.88,0,3.3356910569105693,12.16,0.07,CoxsBazar,2022,6.27,12.09,85.19,Low Risk,0
Rabi,176.62,22.689,29.76,16.47,0,3.071333333333333,6.37,0.03,CoxsBazar,2022,13.29,6.34,7.78,Low Risk,0
Kharif 1,1026.98,27.60254098360656,38.63,14.34,31,2.4385245901639343,6.32,0.11,Cumilla,2022,24.29,6.21,37.2,High Risk,1
Kharif 2,1132.38,27.485040650406503,33.75,17.91,0,1.6701626016260165,5.92,0.03,Cumilla,2022,15.84,5.89,41.2,Low Risk,0
Rabi,73.68,19.19066666666667,30.34,8.36,0,1.0931666666666666,3.32,0.02,Cumilla,2022,21.98,3.3,3.84,Low Risk,0
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,2.537540983606557,6.3,0.09,Dhaka,2022,25.43,6.21,36.58,High Risk,1
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,1.9920325203252036,7.4,0.04,Dhaka,2022,15.44,7.36,40.9,Low Risk,0
Rabi,82.23,19.61058333333333,30.39,8.94,0,1.2454166666666666,3.9,0.06,Dhaka,2022,21.45,3.84,4.19,Low Risk,0
Kharif 1,907.84,28.486147540983605,40.66,13.08,52,2.1305737704918037,6.43,0.08,Dinajpur,2022,27.58,6.35,31.87,High Risk,1
Kharif 2,881.89,27.738943089430894,34.58,17.61,0,1.9403252032520324,7.11,0.05,Dinajpur,2022,16.97,7.06,31.79,Low Risk,0
Rabi,75.37,18.04758333333333,29.74,7.23,0,1.368083333333333,7.31,0.08,Dinajpur,2022,22.51,7.23,4.18,Low Risk,0
Kharif 1,736.76,28.934262295081968,41.82,16.16,51,2.5120491803278693,6.07,0.04,Faridpur,2022,25.66,6.03,25.46,High Risk,1
Kharif 2,1135.85,27.829837398373986,33.44,19.14,0,2.1730081300813007,8.05,0.09,Faridpur,2022,14.3,7.96,40.81,Low Risk,0
Rabi,106.1,19.4835,30.43,8.4,0,1.4433333333333331,5.01,0.07,Faridpur,2022,22.03,4.94,5.45,Low Risk,0
Kharif 1,1134.36,27.39,36.32,14.02,10,2.403688524590164,6.22,0.12,Feni,2022,22.3,6.1,41.41,Moderate Risk,0
Kharif 2,1338.61,27.654308943089436,33.89,17.96,0,1.9202439024390243,7.3,0.09,Feni,2022,15.93,7.21,48.4,Low Risk,0
Rabi,89.25,19.2125,30.48,8.14,0,1.37425,3.58,0.08,Feni,2022,22.34,3.5,4.65,Low Risk,0
