ADM2_NAME,ADM1_NAME,Month,Year,Salinity_Index_Raw
Sunamganj,Sylhet,2,2022,607.2722810631014
Sylhet,Sylhet,2,2022,749.9060671083469
Bogra,Rajshahi,2,2022,792.4056686127326
Joypurhat,Rajshahi,2,2022,770.7476659979775
Naogaon,Rajshahi,2,2022,835.5706066758673
Natore,Rajshahi,2,2022,634.4196621277442
Nawabganj,Rajshahi,2,2022,777.2953986744541
Pabna,Rajshahi,2,2022,710.996238322028
Rajshahi,Rajshahi,2,2022,762.2036416183141
Sirajganj,Rajshahi,2,2022,834.3597551633269
Dinajpur,Rangpur,2,2022,748.2633701836547
Gaibandha,Rangpur,2,2022,858.89342460539
Kurigram,Rangpur,2,2022,954.7773950899859
Lalmonirhat,Rangpur,2,2022,772.5682968235108
Nilphamari,Rangpur,2,2022,675.1558476497302
Panchagarh,Rangpur,2,2022,776.5948662069023
Rangpur,Rangpur,2,2022,768.4709247525834
Thakurgaon,Rangpur,2,2022,700.4490300968796
Barguna,Barisal,2,2022,1002.7378971516687
Barisal,Barisal,3,2022,725.7511957965254
Bhola,Barisal,3,2022,809.6888654011283
Jhalokati,Barisal,3,2022,736.7286204498334
Patuakhali,Barisal,3,2022,985.2055776280824
Pirojpur,Barisal,3,2022,703.7190157882699
Bandarban,Chittagong,3,2022,646.5715359764449
Brahamanbaria,Chittagong,3,2022,586.7542346648581
Chandpur,Chittagong,3,2022,593.8125976705113
Chittagong,Chittagong,3,2022,750.3744675073028
Comilla,Chittagong,3,2022,588.8055423413849
Cox's Bazar,Chittagong,3,2022,717.3366765517083
Feni,Chittagong,3,2022,716.0741381409684
Khagrachhari,Chittagong,3,2022,598.0161595027162
Lakshmipur,Chittagong,3,2022,722.8753392651049
Noakhali,Chittagong,3,2022,724.3305620181359
Rangamati,Chittagong,3,2022,663.5156505510479
Dhaka,Dhaka,3,2022,786.3122810907142
Faridpur,Dhaka,3,2022,665.0063725478487
Gazipur,Dhaka,3,2022,699.3960473728171
Gopalganj,Dhaka,3,2022,630.3952779673402
Jamalpur,Dhaka,3,2022,704.2426876436075
Kishoreganj,Dhaka,3,2022,582.1222873614649
Madaripur,Dhaka,3,2022,725.664723165648
Manikganj,Dhaka,3,2022,741.7306650733652
Munshiganj,Dhaka,3,2022,642.0284172108645
Mymensingh,Dhaka,3,2022,639.3453904660208
Narayanganj,Dhaka,3,2022,745.7481990735146
Narsingdi,Dhaka,3,2022,576.995382439916
Netrakona,Dhaka,3,2022,566.1344367915485
Rajbari,Dhaka,3,2022,689.7564815188945
Shariatpur,Dhaka,3,2022,757.7216140102637
Sherpur,Dhaka,3,2022,566.3864754591016
Tangail,Dhaka,3,2022,701.744742381747
Bagerhat,Khulna,3,2022,532.2936445031007
Chuadanga,Khulna,3,2022,554.7736844833371
Jessore,Khulna,3,2022,595.0301791221676
Jhenaidah,Khulna,3,2022,569.7410009112978
Khulna,Khulna,3,2022,657.0218856404778
Kushtia,Khulna,3,2022,662.1393794977238
Magura,Khulna,3,2022,597.200755212677
Meherpur,Khulna,3,2022,591.8211902585429
Narail,Khulna,3,2022,634.2895507576068
Satkhira,Khulna,3,2022,622.8134206731719
Habiganj,Sylhet,3,2022,620.1270098725736
Maulvibazar,Sylhet,3,2022,677.0574874909416
Sunamganj,Sylhet,3,2022,592.4335913182988
Sylhet,Sylhet,3,2022,707.695989072979
Bogra,Rajshahi,3,2022,725.7507023175943
Joypurhat,Rajshahi,3,2022,709.2115320989911
Naogaon,Rajshahi,3,2022,588.9624774758965
Natore,Rajshahi,3,2022,566.6657480033522
Nawabganj,Rajshahi,3,2022,695.7826110451025
Pabna,Rajshahi,3,2022,691.0296992966622
Rajshahi,Rajshahi,3,2022,676.5807512011902
Sirajganj,Rajshahi,3,2022,803.4333903553865
Dinajpur,Rangpur,3,2022,578.0869227371136
Gaibandha,Rangpur,3,2022,759.2710869328288
Kurigram,Rangpur,3,2022,818.6330371430108
Lalmonirhat,Rangpur,3,2022,690.9262673686824
Nilphamari,Rangpur,3,2022,592.0776605268157
Panchagarh,Rangpur,3,2022,696.4072005368444
Rangpur,Rangpur,3,2022,685.2112781029496
Thakurgaon,Rangpur,3,2022,612.18193226672
Barguna,Barisal,3,2022,992.2891745959909
Barisal,Barisal,4,2022,1028.1417692850703
Bhola,Barisal,4,2022,997.0934660248269
Jhalokati,Barisal,4,2022,903.44718196175
Patuakhali,Barisal,4,2022,1076.0815407639698
Pirojpur,Barisal,4,2022,926.3494576348256
Bandarban,Chittagong,4,2022,839.6755313726176
Brahamanbaria,Chittagong,4,2022,787.4100523460837
Chandpur,Chittagong,4,2022,907.2989101823667
Chittagong,Chittagong,4,2022,1037.6310088527084
Comilla,Chittagong,4,2022,929.3473778690545
Cox's Bazar,Chittagong,4,2022,945.2339598773409
Feni,Chittagong,4,2022,937.2618679446189
Khagrachhari,Chittagong,4,2022,986.4985396113708
Lakshmipur,Chittagong,4,2022,823.1098557048573
Noakhali,Chittagong,4,2022,871.4305122753941
Rangamati,Chittagong,4,2022,931.9894808082104
Dhaka,Dhaka,4,2022,1085.0756448211428
Faridpur,Dhaka,4,2022,1162.637375600644
Gazipur,Dhaka,4,2022,1116.4045478790622
Gopalganj,Dhaka,4,2022,970.391916610694
Jamalpur,Dhaka,4,2022,1201.6389777764512
Kishoreganj,Dhaka,4,2022,767.5642990170015
Madaripur,Dhaka,4,2022,1224.17360881477
Manikganj,Dhaka,4,2022,1220.2600520174333
Munshiganj,Dhaka,4,2022,1160.4406381040244
Mymensingh,Dhaka,4,2022,824.8457445824066
Narayanganj,Dhaka,4,2022,1017.1376804896524
Narsingdi,Dhaka,4,2022,878.1114448067124
Netrakona,Dhaka,4,2022,701.1541748773292
Rajbari,Dhaka,4,2022,985.6696779165812
Shariatpur,Dhaka,4,2022,1340.503897357955
Sherpur,Dhaka,4,2022,1042.0297472341804
Tangail,Dhaka,4,2022,1140.8904606391065
Bagerhat,Khulna,4,2022,789.433540954944
Chuadanga,Khulna,4,2022,862.0162800730487
Jessore,Khulna,4,2022,817.2243018445755
Jhenaidah,Khulna,4,2022,820.6983132527971
Khulna,Khulna,4,2022,887.5556703457723
Kushtia,Khulna,4,2022,1011.5307400799163
Magura,Khulna,4,2022,928.2689031094006
Meherpur,Khulna,4,2022,903.5231827153627
Narail,Khulna,4,2022,942.1322768205084
Satkhira,Khulna,4,2022,905.3777706181294
Habiganj,Sylhet,4,2022,803.3959006221571
Maulvibazar,Sylhet,4,2022,785.7763757623267
Sunamganj,Sylhet,4,2022,810.4968237967464
Sylhet,Sylhet,4,2022,766.5940008043594
Bogra,Rajshahi,4,2022,821.1962411740734
Joypurhat,Rajshahi,4,2022,626.2962234975215
Naogaon,Rajshahi,4,2022,828.6370286736056
Natore,Rajshahi,4,2022,898.5469541845121
Nawabganj,Rajshahi,4,2022,921.3190922113462
Pabna,Rajshahi,4,2022,953.6682627145879
Rajshahi,Rajshahi,4,2022,943.27812195945
Sirajganj,Rajshahi,4,2022,1065.7864370930647
Dinajpur,Rangpur,4,2022,567.8978565345188
Gaibandha,Rangpur,4,2022,863.7733052506125
Kurigram,Rangpur,4,2022,888.9738263455753
Lalmonirhat,Rangpur,4,2022,744.1163705482485
Nilphamari,Rangpur,4,2022,743.2611667082249
Panchagarh,Rangpur,4,2022,1082.4427347006886
Rangpur,Rangpur,4,2022,635.9054623348918
Thakurgaon,Rangpur,4,2022,829.4753076492677
Barguna,Barisal,4,2022,1056.338381338103
Barisal,Barisal,5,2022,937.6533241454747
Bhola,Barisal,5,2022,992.4247003487338
Jhalokati,Barisal,5,2022,766.4390073352092
Patuakhali,Barisal,5,2022,933.1732940200213
Pirojpur,Barisal,5,2022,868.9015403272823
Bandarban,Chittagong,5,2022,943.049895525307
