Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,is_extreme_Heat_Stress_Days,is_extreme_Wind_Max,Yield
259,0.7722007722,Bagerhat,Rabi,17.75,55.0,Wheat,December,Jan To March,April,200.0,20,15.5,50,65,0.3116314170521451,2.4183504530287765,6.3149949671671255,297.294524997996,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2675,0.3651,0.0976,1.4035,Optimal,220.43,0.0,1.4529166666666666,4.33,0.04,11.23,Low Risk,0,0,0,0.7722007722007722
421,2.247030879,Bagerhat,Rabi,20.5,60.0,Maize 2,December,Jan To March,April,946.0,27,14.0,50,70,0.3116314170521451,2.4183504530287765,6.3149949671671255,297.294524997996,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2675,0.3651,0.0976,1.4035,Optimal,220.43,0.0,1.4529166666666666,4.33,0.04,11.23,Low Risk,0,0,0,2.2470308788598574
145439,1.847881242,Bagerhat,Rabi,26.0,72.5,Boro,November,Dec To March,April,268754.0,40,12.0,60,85,0.3116314170521451,2.4183504530287765,6.3149949671671255,297.294524997996,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2935,0.3855,0.092,1.3611,Optimal,220.43,0.0,1.4529166666666666,4.33,0.04,11.23,Low Risk,0,0,0,1.847881242307772
627,3.50877193,Bagerhat,Rabi,20.5,80.0,Sweet Potato,November,Dec To March,April,2200.0,24,17.0,70,90,0.3116314170521451,2.4183504530287765,6.3149949671671255,297.294524997996,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2935,0.3855,0.092,1.3611,Optimal,220.43,0.0,1.4529166666666666,4.33,0.04,11.23,Low Risk,0,0,0,3.508771929824561
383,4.994778068,Bagerhat,Kharif 1,31.5,70.0,Mango,April,April To May,April To June,1913.0,36,27.0,50,90,0.3081769511973575,1.8112869864403789,4.169441903407631,301.5819733879906,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2769,0.3438,0.0669,1.3033,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0,4.994778067885117
95,26.71578947,Bagerhat,Kharif 1,34.5,82.5,Jack Fruit,April,April To May,April To June,2538.0,47,22.0,70,95,0.3081769511973575,1.8112869864403789,4.169441903407631,301.5819733879906,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2769,0.3438,0.0669,1.3033,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0,26.71578947368421
90,11.4,Bagerhat,Kharif 1,30.0,80.0,Ripe Papaya,April,April To May,April To May,1026.0,35,25.0,70,90,0.3081769511973575,1.8112869864403789,4.169441903407631,301.5819733879906,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2261,0.3062,0.0802,1.4032,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0,11.4
14355,1.118843608,Bagerhat,Kharif 1,26.0,72.5,Aus,March,April To July,Aug,16061.0,40,12.0,60,85,0.3081769511973575,1.8112869864403789,4.169441903407631,301.5819733879906,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3172,0.3861,0.0689,1.2834,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0,1.118843608498781
880,1.386363636,Bagerhat,Rabi,25.5,87.5,Karala,February,March To July,Aug To Sep,1220.0,27,24.0,85,90,0.3116314170521451,2.4183504530287765,6.3149949671671255,297.294524997996,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3362,0.4041,0.068,1.2621,Optimal,220.43,0.0,1.4529166666666666,4.33,0.04,11.23,Low Risk,0,0,0,1.3863636363636365
852,10.71948357,Bagerhat,Kharif 2,29.0,65.0,Sugarcane,October,Nov To Aug,Aug To Sep,9133.0,38,20.0,45,85,0.3431915358837492,2.4183504530287765,5.780086386688027,300.15712075135025,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3557,0.423,0.0673,1.2326,Optimal,1451.65,0.0,2.063739837398374,7.47,0.04,52.27,Low Risk,0,0,0,10.719483568075118
83,17.27710843,Bagerhat,Kharif 1,25.0,70.0,Green Papaya,June,June To August,August To September,1434.0,30,20.0,60,80,0.3081769511973575,1.8112869864403789,4.169441903407631,301.5819733879906,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4362,0.4779,0.0416,1.0947,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0,17.27710843373494
167,6.700598802,Bagerhat,Kharif 1,25.0,70.0,Amra,June,June To August,August To September,1119.0,30,20.0,60,80,0.3081769511973575,1.8112869864403789,4.169441903407631,301.5819733879906,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4362,0.4779,0.0416,1.0947,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0,6.700598802395209
490,1.0,Bagerhat,Kharif 1,25.0,70.0,Wood Apple,May,June To August,August To September,490.0,30,20.0,60,80,0.3081769511973575,1.8112869864403789,4.169441903407631,301.5819733879906,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4043,0.4465,0.0423,1.1072,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0,1.0
1007,28.86097319,Bagerhat,Kharif 1,25.0,70.0,Green Coconut,May,June To August,August To September,29063.0,30,20.0,60,80,0.3081769511973575,1.8112869864403789,4.169441903407631,301.5819733879906,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4043,0.4465,0.0423,1.1072,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0,28.860973187686195
35,1.942857143,Bagerhat,Kharif 2,23.5,61.0,Oal Kachu,September,Oct To Dec,Dec To Feb,68.0,32,15.0,52,70,0.3431915358837492,2.4183504530287765,5.780086386688027,300.15712075135025,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3941,0.4599,0.0657,1.1818,Optimal,1451.65,0.0,2.063739837398374,7.47,0.04,52.27,Low Risk,0,0,0,1.9428571428571428
457,1.192560175,Bagerhat,Kharif 2,25.0,72.5,Barbati,September,Oct To Dec,December To April,545.0,30,20.0,60,85,0.3431915358837492,2.4183504530287765,5.780086386688027,300.15712075135025,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3432,0.4222,0.079,1.2905,Optimal,1451.65,0.0,2.063739837398374,7.47,0.04,52.27,Low Risk,0,0,0,1.1925601750547046
459,2.851851852,Bagerhat,Kharif 2,21.0,70.0,Puishak,August,Sep To Jan,Feb,1309.0,30,12.0,65,75,0.3431915358837492,2.4183504530287765,5.780086386688027,300.15712075135025,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4039,0.4663,0.0624,1.1687,Optimal,1451.65,0.0,2.063739837398374,7.47,0.04,52.27,Low Risk,0,0,0,2.851851851851852
611,3.024549918,Bagerhat,Kharif 2,21.0,70.0,Palong Shak,August,Sep To Jan,Feb,1848.0,30,12.0,65,75,0.3431915358837492,2.4183504530287765,5.780086386688027,300.15712075135025,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.4039,0.4663,0.0624,1.1687,Optimal,1451.65,0.0,2.063739837398374,7.47,0.04,52.27,Low Risk,0,0,0,3.0245499181669397
265,0.2830188679,Bagerhat,Rabi,31.0,48.75,Sesame,November,Dec To Jan,Feb,75.0,35,27.0,45,65,0.3116314170521451,2.4183504530287765,6.3149949671671255,297.294524997996,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3449,0.4236,0.0787,1.2333,Optimal,220.43,0.0,1.4529166666666666,4.33,0.04,11.23,Low Risk,0,0,0,0.2830188679245283
149,1.355704698,Bagerhat,Kharif 2,25.0,67.5,Garlic,October,Nov To Jan,Feb,202.0,30,20.0,65,70,0.3431915358837492,2.4183504530287765,5.780086386688027,300.15712075135025,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3731,0.4449,0.0718,1.2044,Optimal,1451.65,0.0,2.063739837398374,7.47,0.04,52.27,Low Risk,0,0,0,1.3557046979865772
470,5.34893617,Bagerhat,Kharif 2,19.0,77.5,Cauliflower,September,Nov To Jan,Feb,2514.0,30,8.0,70,85,0.3431915358837492,2.4183504530287765,5.780086386688027,300.15712075135025,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3758,0.4458,0.07,1.2004,Optimal,1451.65,0.0,2.063739837398374,7.47,0.04,52.27,Low Risk,0,0,0,5.348936170212766
767,6.221642764,Bagerhat,Kharif 2,17.0,75.0,Cabbage,September,Oct To Jan,Feb,4772.0,24,10.0,60,90,0.3431915358837492,2.4183504530287765,5.780086386688027,300.15712075135025,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3941,0.4599,0.0657,1.1818,Optimal,1451.65,0.0,2.063739837398374,7.47,0.04,52.27,Low Risk,0,0,0,6.2216427640156455
1465,0.2546075085,Bagerhat,Kharif 2,22.5,75.0,Rape & Mustard,October,Nov To Feb,Feb To April,373.0,30,15.0,65,85,0.3431915358837492,2.4183504530287765,5.780086386688027,300.15712075135025,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.321,0.4061,0.0852,1.3222,Optimal,1451.65,0.0,2.063739837398374,7.47,0.04,52.27,Low Risk,0,0,0,0.2546075085324232
2070,1.075362319,Bagerhat,Kharif 1,20.5,72.5,Date Palm,April,April To May,Feb To March,2226.0,35,6.0,60,85,0.3081769511973575,1.8112869864403789,4.169441903407631,301.5819733879906,14.77098688500372,0.2671469327157075,0.3076850950523782,0.2093828623516599,0.0419541526202847,0.0983022327007182,0.1570452342229642,883.0219275597883,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2226,0.3334,0.1109,1.5204,Optimal,656.33,42.5,2.48188524590164,5.86,0.04,22.73,High Risk,1,1,0,1.0753623188405796
1449,0.3388543823,Bagerhat,Kharif 2,15.0,90.0,Lentil,October,Nov To Feb,Feb To March,491.0,20,10.0,85,95,0.3431915358837492,2.4183504530287765,5.780086386688027,300.15712075135025,25.24011305318693,0.507816116388428,0.6214849029628107,0.36797252036576,0.1082292282638344,0.2535123825970506,0.213126808643958,517.8162711223541,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.3452,0.4253,0.0801,1.2677,Optimal,1451.65,0.0,2.063739837398374,7.47,0.04,52.27,Low Risk,0,0,0,0.3388543823326432
716,1.477653631,Bagerhat,Rabi,20.0,60.0,Boroi,July,December To February,February To March,1058.0,25,15.0,50,70,0.3116314170521451,2.4183504530287765,6.3149949671671255,297.294524997996,12.078042549735049,0.5118091536297626,0.5711876241926808,0.4540554389640537,0.0511123836913264,0.117132185228627,0.0998660991676999,560.4940229941045,5.73,33.040000000000006,3.2150000000000003,28.25,22.23,49.52,1.23,8.73,Optimal,Loamy,0.2989,0.3873,0.0884,1.3428,Optimal,220.43,0.0,1.4529166666666666,4.33,0.04,11.23,Low Risk,0,0,0,1.4776536312849162
