Year,State,ActivityStartDate,As,Ca,Cd,Cr,Cu,Fe,K,Mg,Mn,Ni,P,Pb,Zn,Hg
2015,AK,2015-02-03,0.39,48.4,,,,204.0,1.32,12.5,,,0.0135,,,
2015,AK,2015-02-11,,25.5,,,,,1.26,3.07,,,0.004,,,
2015,AK,2015-02-25,1.1,11.8,,,,297.0,0.68,2.29,31.3,0.28,0.012,,,
2015,AK,2015-03-24,0.31,39.5,,,,62.1,1.495,7.785,,,0.018,,,
2015,AK,2015-04-07,1.1,8.87,,,,317.0,0.62,1.73,25.6,0.27,0.0185,0.048,,
2015,AK,2015-04-28,1.2,7.61,,,,380.0,0.84,1.57,20.8,0.23,0.028,0.06,,
2015,AK,2015-05-06,,17.9,,,,,1.14,2.35,,,0.052,,,
2015,AK,2015-05-20,0.99,26.7,,,,368.0,0.98,6.26,,,0.366,,,
2015,AK,2015-06-09,0.99,28.8,,,,246.0,1.07,6.0,,,0.1775,,,
2015,AK,2015-06-18,1.6,10.6,,,,186.0,0.44,1.91,5.61,,0.0075,,,
2015,AK,2015-06-23,,14.8,,,,,0.8,1.55,,,0.717,,,
2015,AK,2015-07-07,0.99,35.3,,,,140.0,1.26,9.4,,,0.1445,,,
2015,AK,2015-07-27,,15.1,,,,,0.82,1.71,,,0.616,,,
2015,AK,2015-08-18,0.86,35.9,,,,62.8,1.44,9.47,,,0.1885,,,
2015,AK,2015-08-19,1.9,11.9,,,,299.0,0.4,2.19,13.6,,0.011,,,
2015,AK,2015-09-08,,18.2,,,,,1.0,2.3,,,0.116,,,
2015,AK,2015-09-17,1.2,9.02,,,1.1,178.0,0.49,1.81,16.1,0.39,0.0255,0.062,,
2015,AK,2015-09-21,0.79,34.2,,,,174.0,1.0,9.23,,,0.1795,,,
2015,AK,2015-10-07,,15.9,,,,,0.79,2.25,,,0.07,,,
2016,AK,2016-01-13,1.5,9.57,,,,495.0,0.47,1.93,36.8,0.28,0.0124999999999999,,,
2016,AK,2016-01-27,,24.1,,,,,1.36,2.95,,,,,,
2016,AK,2016-02-24,0.49,57.1,,,,166.0,1.58,14.7,,,0.022,,,
2016,AK,2016-03-15,1.4,13.3,,,,445.0,0.6,2.51,41.1,0.36,0.0085,,,
2016,AK,2016-03-22,,27.5,,,,,1.43,3.13,,,,,,
2016,AK,2016-04-05,0.34,52.3,,,,90.9,1.43,12.2,,,0.024,,,
2016,AK,2016-04-25,,15.3,,,,,0.92,2.05,,,,,,
2016,AK,2016-04-26,1.2,8.03,,,,234.0,0.4,1.59,10.5,,0.0215,,,
2016,AK,2016-05-11,0.89,26.9,,,,336.0,1.03,6.51,,,0.2505,,,
2016,AK,2016-05-23,,11.2,,,,,0.64,1.58,,,,,,
2016,AK,2016-06-01,0.83,25.4,,,,281.0,0.87,5.81,,,0.137,,,
2016,AK,2016-06-14,1.5,11.2,,,,181.0,0.35,1.88,14.8,0.21,0.021,,,
2016,AK,2016-06-29,0.89,34.3,,,,125.0,1.07,8.8,,,0.097,,,
2016,AK,2016-07-11,,15.9,,,,,0.78,1.74,,,,,,
2016,AK,2016-08-02,2.0,13.1,,,1.0,302.0,0.39,2.32,17.1,0.31,0.01,,,
2016,AK,2016-08-10,1.1,31.7,,,,114.0,1.23,8.13,,,0.248,,,
2016,AK,2016-08-16,,15.4,,,,,0.79,1.93,,,,,,
2016,AK,2016-09-09,2.3,11.5,,,0.64,496.0,0.47,2.11,16.6,0.36,0.0155,0.03,,
2016,AK,2016-09-15,,17.5,,,,,0.82,2.23,,,,,,
2016,AK,2016-09-27,1.0,35.4,,,,488.0,0.98,9.74,,,0.102,,,
2016,AK,2016-10-14,1.5,10.7,,,0.52,306.0,0.36,1.97,18.6,0.24,0.0249999999999999,0.04,,
2016,AK,2016-10-18,,22.9,,,,,1.05,2.92,,,,,,
2017,AK,2017-01-04,1.3,15.6,,,0.33,362.0,0.61,2.68,46.4,,0.013,,,
2017,AK,2017-01-24,,26.5,,,,,1.31,3.1,,,,,,
2017,AK,2017-03-01,1.2,52.0,,,,,1.35,12.7,,,0.0185,,,
2017,AK,2017-03-08,,24.7,,,,,1.22,2.79,,,,,,
2017,AK,2017-04-04,0.42,51.1,,,,85.5,1.36,12.6,,,0.025,,,
2017,AK,2017-04-10,1.4,13.4,,,0.31,309.0,0.67,2.34,50.4,,0.0095,,,
2017,AK,2017-04-25,,19.7,,,,,1.21,2.34,,,,,,
2017,AK,2017-05-23,0.84,26.4,,,,294.0,1.01,6.17,,,0.2935,,,
2017,AK,2017-05-31,,15.6,,,,,0.86,2.07,,,,,,
2017,AK,2017-06-08,1.4,11.1,,,0.47,202.0,0.46,1.94,26.5,,0.014,0.025,,
2017,AK,2017-06-20,0.83,30.3,,,,228.0,1.06,8.0,,,0.074,,,
2017,AK,2017-07-19,2.23,18.2,,,6.5,3843.45,0.73,3.69,7.58,1.3,0.1045,1.714,23.0,0.011
2017,AK,2017-07-26,1.1,35.1,,,,88.4,1.63,9.49,,,0.2865,,,
2017,AK,2017-08-02,0.46,10.3,,,2.23,2826.45,1.09,1.71,5.23,0.24,0.142,1.37,19.0,
2017,AK,2017-08-03,,14.4,,,,,0.79,1.52,,,,,,
2017,AK,2017-08-17,1.9,11.2,,,0.53,313.0,0.39,2.08,15.6,0.29,0.011,0.027,,
2017,AK,2017-08-23,3.1333333333333333,24.85,,,27.95,7666.233333333334,1.165,5.875,8.26,0.48,0.3405,4.018,78.0,0.043
2017,AK,2017-08-31,,17.8,,,,,0.88,2.3,,,,,,
2017,AK,2017-09-20,,19.8,,,,,0.97,2.5,,,,,,
2017,AK,2017-09-26,0.86,35.6,,,,202.0,0.91,10.7,,,0.104,,,
2017,AK,2017-10-12,,18.3,,,,,0.78,2.44,,,,,,
2017,AK,2017-12-07,0.395,27.4,0.159,,8.1,256.2,1.07,2.49,30.1,0.4,0.009,0.16,12.05,0.0095
2018,AK,2018-01-24,,26.5,,,,,1.26,2.99,,,,,,
2018,AK,2018-01-25,0.4,28.2,0.105,,5.95,218.8,1.23,2.61,23.7,0.3,0.011,0.13,8.8,
2018,AK,2018-02-21,0.41,49.5,,,,121.0,1.41,13.5,,,0.026,,,
2018,AK,2018-03-13,,26.1,,,,,1.36,3.11,,,,,,
2018,AK,2018-03-21,0.375,30.2,0.103,,4.800000000000001,235.0,1.21,2.8,27.1,0.3,0.01,0.0665,8.35,
2018,AK,2018-03-29,0.38,49.7,,,,66.2,1.38,13.1,,,0.026,,,
2018,AK,2018-04-24,0.54,23.5,0.069,,7.1,470.0,1.05,2.21,17.3,0.28,0.025,0.1905,8.15,0.005
2018,AK,2018-05-09,,18.1,,,,,1.16,2.14,,,,,,
2018,AK,2018-05-23,1.0,26.0,,,,393.0,0.95,6.0,,,0.4445,,,
2018,AK,2018-05-31,1.9,19.0,0.135,,14.45,936.9,0.78,1.75,20.5,0.29,0.067,0.69,14.05,0.006
2018,AK,2018-06-13,,13.7,,,,,0.8,1.78,,,,,,
2018,AK,2018-06-19,1.0,28.9,,,,282.0,1.02,7.1,,,0.198,,,
2018,AK,2018-07-02,0.96,14.6,0.097,,11.9,1283.8,0.82,1.27,21.9,0.34,0.093,0.607,12.35,
2018,AK,2018-07-20,,16.4,,,,,0.81,1.93,,,,,,
2018,AK,2018-07-25,1.0,35.5,,,,148.0,1.29,10.5,,,0.202,,,
2018,AK,2018-08-07,3.0,14.75,0.061,0.63,9.4,3625.0,0.92,1.465,39.4,0.78,0.132,2.0875,14.05,0.0105
2018,AK,2018-08-29,0.94,36.1,,,,104.0,1.28,11.6,,,0.289,,,
2018,AK,2018-09-05,0.625,14.8,0.04,,3.9,791.4,0.82,1.25,16.1,0.28,0.0265,0.3925,9.0,0.005
2018,AK,2018-09-06,,18.2,,,,,0.74,2.36,,,,,,
2018,AK,2018-09-20,0.92,34.2,,,,254.0,1.06,10.8,,,0.122,,,
2018,AK,2018-10-18,,16.7,,,,,0.85,2.17,,,,,,
2018,AK,2018-12-04,0.365,25.6,0.146,,5.55,225.6,1.1,2.3,27.6,0.34,0.012,0.13,11.05,0.006
2019,AK,2019-02-05,0.305,28.9,0.082,,1.355,121.5,1.16,2.65,25.6,0.28,0.005,0.11,5.25,0.006
2019,AK,2019-02-07,,24.4,,,,,1.26,2.77,,,,,,
2019,AK,2019-02-26,0.44,48.6,,,,285.0,1.3,12.8,,,0.017,,,
2019,AK,2019-03-05,0.36,32.3,0.11,,2.985,124.1,1.33,3.01,33.8,0.3,0.006,0.07,7.5,
2019,AK,2019-03-28,0.375,25.65,0.085,,4.5,284.9,1.15,2.685,20.4,0.36,0.016,0.2,7.45,
2019,AK,2019-04-02,0.56,46.6,,,,416.0,1.31,11.9,,,0.018,,,
2019,AK,2019-05-06,0.855,24.8,0.034,,2.2,724.2,0.7,5.12,7.28,0.77,0.039,0.398,5.15,0.007
2019,AK,2019-05-09,2.31,18.3,0.097,,15.25,2463.2,0.69,1.78,19.8,0.39,0.185,1.0705,20.0,0.011
2019,AK,2019-05-15,0.7866666666666666,26.8,,,4.3,2158.5,0.79,6.71,9.58,0.64,0.0533333333333333,0.5865,12.0,0.01
2019,AK,2019-05-16,,12.9,,,,,0.924,1.84,,,,,,
2019,AK,2019-05-22,,,,,,,,,,,0.0115,,,
2019,AK,2019-05-30,,,,,,,,,,,0.34,,,0.015
2019,AK,2019-06-04,2.8,16.6,0.17,,23.3,1699.35,0.71,1.53,34.2,0.37,0.117,1.37,15.7,0.008
2019,AK,2019-06-12,,14.9,,,,,0.842,1.82,,,,,,
2019,AK,2019-06-18,1.0,30.7,,,,304.0,1.03,7.57,,,0.159,,,
2019,AK,2019-06-27,2.495,16.5,,,6.515000000000001,3971.425,0.665,2.695,7.625,0.5549999999999999,0.303,2.2945,18.33333333333333,
2019,AK,2019-07-10,2.78,17.3,,,17.295,7469.7,0.81,2.25,4.74,0.21,0.3115,2.527,43.0,
2019,AK,2019-07-12,,16.1,,,,,0.89,1.45,,,,,,
2019,AK,2019-07-16,1.83,13.2,0.042,,10.34,3164.3,0.66,1.04,20.2,0.28,0.258,1.569,25.0,0.014
2019,AK,2019-07-23,0.745,22.3,,,,979.0,1.94,3.15,0.68,0.27,0.049,0.32,5.0,
2019,AK,2019-07-24,0.99,35.3,,,,71.4,1.74,10.5,,,0.293,,,
2019,AK,2019-07-29,2.4450000000000003,15.7,,,10.0,3798.9,0.7,2.38,6.45,0.33,0.312,2.349,25.0,0.008
2019,AK,2019-07-31,1.19,17.0,,,6.315,3371.0,0.66,2.54,9.19,0.26,0.142,0.9555,19.0,0.01
2019,AK,2019-08-01,1.425,17.1,,,7.635,3960.0,0.68,2.51,6.34,0.29,0.17,1.1615,22.0,0.013
2019,AK,2019-08-07,,16.1,,,,,0.953,1.55,,,,,,
2019,AK,2019-08-20,0.65,20.1,,,3.1,742.55,1.69,2.77,1.79,0.28,0.03,0.25,5.0,
2019,AK,2019-08-22,0.8,37.3,,,,90.9,1.62,11.4,,,0.252,,,
2019,AK,2019-08-27,4.12,14.0,0.032,,21.85,8575.0,0.86,1.1,22.8,0.42,0.41,4.130000000000001,60.0,0.038
2019,AK,2019-09-04,1.895,17.5,,,7.99,3896.275,0.6950000000000001,2.955,5.84,0.345,0.3005,1.57025,23.0,0.0125
2019,AK,2019-09-05,,18.7,,,,,0.98,2.04,,,,,,
2019,AK,2019-09-17,0.71,16.1,0.062,,5.319999999999999,904.6,0.89,1.39,19.3,0.26,0.055,0.427,7.05,
2019,AK,2019-09-24,1.1,39.0,,,,310.0,1.16,12.6,,,0.075,,,
2019,AK,2019-09-26,1.735,19.9,,,4.17,2663.05,0.82,3.48,8.89,0.45,0.19,1.5539999999999998,18.0,0.007
2019,AK,2019-09-27,1.505,20.4,,,3.215,1796.55,0.81,3.63,10.7,0.42,0.135,1.1565,13.0,0.007
2019,AK,2019-10-03,,21.0,,,,,1.0,2.82,,,,,,
2019,AK,2019-10-07,0.815,20.1,,,3.1,849.05,1.73,2.65,1.26,0.24,0.024,0.157,6.0,
2019,AK,2019-10-30,0.485,27.2,,,2.12,839.75,1.08,4.99,22.5,0.35,0.091,0.45,5.0,0.006
2019,AK,2019-11-13,,21.3,,,,,1.08,2.68,,,,,,
2019,AK,2019-11-19,1.355,22.2,0.032,,3.55,1415.7,0.72,4.04,9.83,0.57,0.0465,1.1045,9.25,
2019,AK,2019-11-26,0.885,20.2,,,4.1,989.25,1.83,2.79,1.44,0.28,0.0185,0.28,5.0,
2019,AK,2019-11-27,0.615,22.7,0.106,,8.4,482.15,0.97,2.08,20.6,0.42,0.032,0.33,8.45,
2019,AK,2019-12-05,0.47,29.0,,,1.8,745.5,0.97,5.19,35.6,0.63,0.03,0.195,4.0,
2020,AK,2020-01-29,,27.7,,,,,1.45,3.18,,,,,,
2020,AK,2020-02-05,0.45,53.5,,,,178.0,1.39,14.7,,,0.005,,,
2020,AK,2020-02-11,0.7350000000000001,22.7,,,1.135,404.0,1.97,3.17,0.67,0.29,0.007,0.0595,,
2020,AK,2020-03-06,0.53,36.5,,,1.065,332.0,0.97,8.5,31.6,0.66,0.009,0.12,3.2,
2020,AK,2020-03-09,0.41,53.0,,,,89.0,1.47,13.2,,,0.013,,,
2020,AK,2020-03-13,0.425,37.0,0.1265,,4.025,219.8,1.3,3.41,28.4,0.375,0.0085,0.1,8.425,
2020,AK,2020-03-14,0.56,23.7,0.064,,,39.8,0.64,1.6,3.18,0.2,,0.071,5.6,
2020,AK,2020-03-20,0.335,35.0,,,,183.9,1.27,6.51,59.0,0.34,0.0104999999999999,0.08,,
2020,AK,2020-03-25,,27.5,,,,,1.32,3.17,,,,,,
2020,AK,2020-04-30,0.67,20.2,,,4.9,2055.45,0.74,3.27,13.6,0.49,0.086,0.559,12.0,0.007
2020,AK,2020-05-01,1.14,28.5,,,3.45,836.0,0.85,6.0,10.6,1.1,0.035,0.3665,5.7,
2020,AK,2020-05-05,0.8300000000000001,22.1,,,1.9,373.0,2.11,3.01,0.62,0.36,0.008,,,
2020,AK,2020-05-06,1.17,26.6,,,4.0,1197.35,0.8,5.8,8.76,1.3,0.0605,0.5820000000000001,10.0,0.006
2020,AK,2020-05-29,0.79,18.1,,,4.75,2491.45,0.76,3.2,6.64,0.45,0.0985,0.6435,14.0,0.007
2020,AK,2020-06-08,2.2625,21.85,,,8.524999999999999,4612.175,0.605,4.415,7.33,0.96,0.19225,1.8925,27.0,0.0204999999999999
2020,AK,2020-06-17,0.865,26.4,,,1.94,740.8,1.93,3.93,1.51,0.54,0.034,0.25,4.0,
2020,AK,2020-06-25,1.2,31.6,,,,386.0,1.2,8.35,,,0.192,,,
2020,AK,2020-07-01,2.6,14.8,0.082,,14.85,2211.9,0.59,1.29,25.7,0.42,0.145,0.958,12.95,
2020,AK,2020-07-03,,19.7,,,,,0.924,2.34,,,,,,
2020,AK,2020-07-06,1.8125,19.3,,,13.1,7423.025,0.74,3.41,8.399999999999999,0.495,0.2992499999999999,1.85675,40.0,0.023
2020,AK,2020-07-08,1.945,20.7,,,6.325,3521.05,0.95,3.8,7.48,0.51,0.1415,1.7135,21.0,0.006
2020,AK,2020-07-16,6.055000000000001,8.91,0.122,,15.85,4911.0,0.4,0.629,20.7,0.48,0.159,10.1575,47.0,0.007
2020,AK,2020-07-17,2.37,13.7,0.088,,15.25,3986.75,0.57,1.1,22.5,0.37,0.173,2.041,18.4,0.018
2020,AK,2020-07-22,0.71,24.6,,,3.3,1900.0,1.86,3.6,0.61,0.39,0.0255,0.38,6.0,
2020,AK,2020-07-28,1.3,33.5,,,,395.0,1.24,10.1,,,0.159,,,
2020,AK,2020-08-11,1.0225,20.15,,,7.91,2675.0,1.21,2.835,4.58,0.42,0.2019999999999999,1.1916666666666669,16.0,0.01
2020,AK,2020-08-13,2.71,15.2,0.056,,7.449999999999999,2641.0,0.7,1.487,10.6,0.28,0.145,4.214,37.0,
2020,AK,2020-08-25,1.1,38.0,,,,204.0,1.21,12.3,,,0.144,,,
2020,AK,2020-09-01,1.82,17.0,,,4.705,2729.3,0.69,3.36,9.23,0.59,0.225,1.661,23.0,0.006
2020,AK,2020-09-04,0.9325,18.65,0.0809999999999999,,8.350000000000001,1290.8,0.88,1.6,21.9,0.4649999999999999,0.0865,0.65625,8.95,
2020,AK,2020-09-15,1.2416666666666667,20.65,0.037,,4.71,2097.2833333333333,0.7775000000000001,3.1105,12.67,0.3999999999999999,0.1813333333333333,1.1605,15.666666666666666,0.0065
2020,AK,2020-09-21,1.465,23.2,,,2.985,1384.6,0.72,4.68,10.5,0.59,0.095,0.864,11.0,0.005
2020,AK,2020-09-22,1.0,38.2,,,,253.0,1.09,12.3,,,0.128,,,
2020,AK,2020-09-24,0.86,22.1,,,2.6,1080.65,1.74,3.12,2.67,0.65,0.04,0.35,7.0,
2020,AK,2020-10-06,3.79,11.6,0.058,,9.9,3867.5,0.52,0.714,11.5,0.44,0.133,5.378,45.0,0.006
2020,AK,2020-10-07,0.74,19.1,0.053,,5.15,970.0,1.02,1.67,17.6,0.3,0.071,0.487,11.0,
2020,AK,2020-10-08,,21.7,,,,,0.84,2.84,,,,,,
2020,AK,2020-10-16,0.475,26.6,,,1.98,823.85,0.86,5.23,18.5,0.54,0.035,0.248,5.0,
2020,AK,2020-10-23,0.33,25.8,0.095,,5.15,253.7,1.27,2.21,23.6,0.38,0.012,0.2,7.9,
2020,AK,2020-10-24,0.785,23.6,,0.63,1.345,735.95,1.84,3.22,2.77,0.49,0.0145,0.25,14.6,
2020,AK,2020-11-10,0.7150000000000001,30.5,0.034,,1.49,333.0,0.77,6.39,12.8,0.73,0.019,0.3045,5.45,
2021,AK,2021-01-21,0.635,27.05,0.075,,2.6975,449.8,0.925,4.4,26.0,0.755,0.03,0.2953333333333333,5.35,
2021,AK,2021-01-22,0.3633333333333333,21.25,0.062,,0.52,54.7,1.19,2.8245,25.085,0.415,0.0045,0.1256666666666666,7.0,
2021,AK,2021-01-29,,27.6,,,,,1.46,3.33,,,,,,
2021,AK,2021-02-26,0.875,24.6,,,1.9,430.3,2.06,3.63,1.17,0.33,0.017,0.13,,
2021,AK,2021-03-04,0.275,26.8,,,0.46,191.5,1.03,4.81,21.6,0.46,0.009,0.09,,
2021,AK,2021-03-09,0.7250000000000001,39.6,,,1.46,419.5,0.96,8.77,28.4,0.74,0.013,0.45,4.0,
2021,AK,2021-03-17,0.37,52.2,,,,86.8,1.48,14.2,,,0.021,,,
2021,AK,2021-03-24,,28.4,,,,,1.36,3.24,,,,,,
2021,AK,2021-04-08,0.41,50.0,,,,94.7,1.44,13.0,,,0.022,,,
2021,AK,2021-04-14,0.38,35.3,0.061,,2.4,118.375,1.3050000000000002,3.135,22.65,0.52,0.003,0.046,4.875,
2021,AK,2021-04-15,0.79,25.0,0.098,,0.79,60.400000000000006,0.82,1.46,6.07,0.45,0.004,0.2165,8.85,
2021,AK,2021-04-16,0.815,23.5,,,,339.0,1.94,3.42,1.53,0.35,0.007,,,
2021,AK,2021-04-21,,73.65,,,,,0.485,13.75,57.9,0.26,0.004,,,
2021,AK,2021-04-22,1.235,49.63333333333333,,,15.7,2460.833333333333,2.105,18.1,8.185,0.295,0.1065999999999999,2.04,22.0,0.013
2021,AK,2021-04-27,2.71,31.8,0.032,,6.8,2900.75,0.76,6.89,18.8,1.3,0.1225,2.3655,12.45,0.015
2021,AK,2021-05-04,0.505,21.1,0.06,,4.55,362.7,0.72,1.9,15.0,0.41,0.025,0.26,5.15,
2021,AK,2021-05-05,0.955,20.6,0.154,,1.85,211.8,0.59,1.29,7.9,0.34,0.011,0.661,15.4,
2021,AK,2021-05-12,0.16,18.7,,,1.1,5.1,0.64,6.53,,,0.005,,,
2021,AK,2021-05-13,,12.6,,,,,0.913,1.85,,,,,,
2021,AK,2021-05-25,0.87,25.4,,,,372.0,1.01,5.97,,,0.288,,,
2021,AK,2021-05-26,0.825,19.2,,,5.05,2190.55,0.66,3.47,9.2,0.67,0.11,0.6295,13.0,0.008
2021,AK,2021-06-09,2.01,19.05,,0.65,7.6,3828.0,0.7475,3.51,11.1,1.9,0.168,1.65,21.0,0.021
2021,AK,2021-06-15,0.88,28.6,,,,279.0,1.03,7.45,,,0.159,,,
2021,AK,2021-06-16,0.81,27.3,,,1.49,712.25,1.95,4.15,1.66,1.2,0.043,0.26,4.0,
2021,AK,2021-06-18,1.345,16.0,,,9.1,4591.9,0.74,2.7,9.01,0.59,0.222,1.2585000000000002,26.0,0.012
2021,AK,2021-06-20,3.3,,,,28.7,5200.0,,,,,0.185,2.49,24.0,
2021,AK,2021-06-22,3.675,12.2,0.048,,7.165,2923.0,0.5,0.727,13.8,0.57,0.214,5.257499999999999,21.95,
2021,AK,2021-06-24,0.12,12.5,,,1.3,,0.42,4.48,0.89,,0.006,0.023,,
2021,AK,2021-06-30,3.42,20.0,,,17.75,7762.0,0.84,3.16,23.4,1.3,0.298,3.3175,47.0,0.032
2021,AK,2021-07-07,2.02,16.7,,,14.34,6318.65,0.68,2.49,8.94,0.55,0.598,2.1335,39.0,0.023
2021,AK,2021-07-08,1.92,16.1,,,12.66,6677.55,0.57,2.42,8.04,0.51,0.539,1.9685,35.0,0.0144999999999999
2021,AK,2021-07-10,2.565,15.65,0.057,,20.3,4151.65,0.825,1.5445,29.3,0.51,0.328,2.238,20.75,0.021
2021,AK,2021-07-11,5.395,10.1,0.035,,9.04,3549.0,0.35,0.538,13.7,0.37,0.238,5.0435,40.0,0.019
2021,AK,2021-07-13,0.98,32.7,,,,231.0,1.09,9.2,,,0.215,,,
2021,AK,2021-07-14,0.835,25.6,,,4.0,1284.7,1.79,3.54,2.55,0.7,0.07,0.3045,8.0,
2021,AK,2021-07-15,2.265,20.8,,,11.1775,5333.95,0.645,3.75,16.85,0.8200000000000001,0.177,1.99375,29.0,0.018
2021,AK,2021-08-04,,15.8,,,,,0.85,1.6,,,,,,
2021,AK,2021-08-10,1.0,30.7,,,,123.0,1.27,8.21,,,0.2885,,,
2021,AK,2021-08-13,,65.0,,,0.53,,0.47,19.6,12.0,1.8,,,,
2021,AK,2021-08-14,0.3483333333333333,34.857142857142854,0.312,,1.095,94.5,0.8157142857142857,9.688571428571429,81.97142857142856,6.307142857142857,0.0127272727272727,0.0572,7.1,
2021,AK,2021-08-15,0.2366666666666666,65.75,0.102,,0.87,31.4,0.66,19.325000000000003,40.525,2.9450000000000003,0.0106,,4.3,
2021,AK,2021-08-16,1.36,52.025000000000006,,,11.080000000000004,4954.166666666667,0.725,11.1925,4.445,0.4033333333333333,0.1384,2.597,23.25,0.021
2021,AK,2021-08-17,0.25,57.53333333333333,,,1.0,19.3,0.4666666666666666,17.099999999999998,12.395,1.7566666666666666,0.017,,4.4,
2021,AK,2021-08-23,0.7649999999999999,14.7,0.05,,5.47,1101.65,0.87,1.22,19.2,0.41,0.059,0.5680000000000001,6.7,
2021,AK,2021-08-26,1.8500000000000003,13.05,,,6.069999999999999,2288.0,0.475,3.29,4.365,0.27,0.158,1.5163333333333335,21.0,
2021,AK,2021-08-30,0.68,22.3,,,1.57,890.1,1.92,3.2,1.27,0.4,0.039,0.3,4.0,
2021,AK,2021-09-01,,19.4,,,,,0.97,2.48,,,,,,
2021,AK,2021-09-14,1.106,23.4,,,3.86,1604.34,0.9166666666666666,6.066666666666666,11.0,0.6000000000000001,0.0926,0.8314999999999999,9.7,0.005
2021,AK,2021-10-04,0.78,23.2,,,4.0,1059.05,1.9,3.12,1.67,3.0,0.033,0.161,5.0,
2021,AK,2021-10-07,0.13,20.2,,,0.53,,0.59,7.08,,0.29,,,,
2021,AK,2021-10-13,,24.0,,,,,0.96,3.0,,,,,,
2021,AK,2021-10-14,1.01,24.7,,,2.8,812.45,0.77,5.26,16.0,0.85,0.044,0.544,6.75,
2021,AK,2021-10-18,0.52,25.7,,,3.02,1233.35,1.04,4.81,25.4,0.48,0.075,0.61,8.0,
2021,AK,2021-10-26,1.46,19.8,0.095,,2.475,614.0,0.7,1.26,8.38,0.45,0.027,1.4580000000000002,13.15,
2021,AK,2021-11-15,0.71,23.9,,,1.8,1040.0,2.07,3.59,1.17,0.39,0.016,0.15,3.0,
2021,AK,2021-12-20,0.32,29.3,0.05,,0.86,97.7,1.36,2.62,21.8,0.49,0.007,0.07,2.8,
2022,AK,2022-01-18,0.48,37.2,,,1.215,101.6,0.86,8.74,21.6,0.87,0.004,0.127,3.5,
2022,AK,2022-02-07,0.5549999999999999,18.2,0.066,,1.0,103.05,0.53,1.14,6.53,0.31,,0.404,7.35,
2022,AK,2022-02-15,0.46,51.1,,,,268.0,1.29,13.7,,,0.0145,,,
2022,AK,2022-03-03,0.265,28.0,0.038,,1.275,98.65,1.18,2.57,18.6,0.4,,,5.15,
2022,AK,2022-03-15,,28.4,,,,,1.45,3.26,,,,,,
2022,AK,2022-03-17,0.69,37.0,0.034,0.58,1.55,542.5,0.88,8.58,46.5,1.2,0.01,0.149,5.8,
2022,AK,2022-03-22,0.575,25.6,,,2.065,1152.25,0.89,4.41,37.1,0.41,0.0525,0.64,6.0,
2022,AK,2022-04-05,0.39,48.6,,,,132.0,1.36,12.9,,,0.0135,,,
2022,AK,2022-04-06,0.835,23.1,,,1.5,370.0,2.05,3.4,0.68,0.26,0.006,0.11,,
2022,AK,2022-04-20,,27.9,,,,,1.55,3.17,,,,,,
2022,AK,2022-04-21,0.395,32.0,,,1.21,368.4,1.33,5.34,56.1,0.6,0.0085,0.13,,
2022,AK,2022-04-27,0.3275,29.6,0.0645,,3.6,193.625,1.135,2.64,14.2,0.275,0.0085,0.16,4.225,
2022,AK,2022-04-28,0.6425,27.2,0.3385,,1.9,80.35,0.795,1.5950000000000002,8.809999999999999,0.32,0.0035,0.33975,29.375,
2022,AK,2022-05-10,1.335,32.0,0.032,,5.699999999999999,1751.25,0.88,7.07,12.1,1.2,0.144,0.7875,14.0,0.006
2022,AK,2022-05-12,0.27,24.2,0.051,,3.45,236.85,1.06,2.37,15.1,0.34,0.014,0.18,4.75,
2022,AK,2022-05-15,0.66,31.8,,,,539.0,1.08,8.06,,,0.0945,,,
2022,AK,2022-05-18,,14.1,,,,,2.91,1.92,,,,,,
2022,AK,2022-05-19,0.7949999999999999,24.4,0.165,,1.305,119.45,0.7,1.52,6.37,0.26,0.006,0.433,15.5,
2022,AK,2022-05-24,0.15,15.5,,,1.2,15.6,0.6,5.34,1.14,,0.013,,,
2022,AK,2022-05-25,0.8200000000000001,20.7,0.114,,1.5750000000000002,165.6,0.62,1.32,1.78,0.25,0.01,0.5135,10.15,
2022,AK,2022-05-27,0.8150000000000001,18.8,0.101,,1.375,184.6,0.58,1.23,1.31,0.29,0.0069999999999999,0.5655,9.85,
2022,AK,2022-05-28,0.86,17.9,0.112,,3.365,2296.0,0.65,1.18,3.14,0.25,0.0085,0.9955,53.3,
2022,AK,2022-05-30,0.94,17.6,0.097,,1.2999999999999998,267.8,0.63,1.16,0.58,0.24,0.015,0.7705,15.9,
2022,AK,2022-05-31,1.2525,17.25,0.096,,7.34,3248.9,0.775,1.985,6.525,0.475,0.1766666666666666,1.286,20.33333333333333,0.022
2022,AK,2022-06-01,1.215,16.6,0.085,,2.285,447.4,0.78,1.04,0.78,0.25,0.027,1.3475,11.55,
2022,AK,2022-06-02,1.55,13.8,0.097,,2.715,709.55,0.64,0.863,1.18,0.24,0.048,2.3325,16.55,
2022,AK,2022-06-15,0.9033333333333332,28.4,,,1.2,590.1999999999999,1.61,5.505000000000001,1.17,0.61,0.176,0.24,5.0,
2022,AK,2022-06-21,2.4,13.9,0.067,,15.9,2206.75,0.83,1.21,24.0,0.37,0.168,0.9305,12.7,0.008
2022,AK,2022-06-22,4.905,13.0,0.069,,16.2,3279.15,0.69,0.753,17.5,0.34,0.197,5.648499999999999,52.0,
