Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Min Relative Humidity,Max Relative Humidity,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,Latitude,Longitude,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,Log_Yield
48,13.25,1.4677978039078508,1.2189924547979805,29.0,65.0,2.585778670731281,1.079758296469405,2.585778670731281,1.8440447419140888,636,38,20.0,45,85,0.32,1.13,4.06,300.98,-7492.92,0.31,0.46,0.11,0.15,0.35,0.48,759.36,5.92,19.91,1.93,36.51,29.44,34.05,1.29,24.89,90.73,10.31,1,1,0.29,0.31,0.02,1.11,1,1391.11,27.5,34.86,18.34,0,1.54,5.49,0.03,16.52,5.46,50.58,0,0,2.6567569067146595
13887,0.49,1.4293097030698978,1.2189924547979805,15.0,90.0,0.3484356377745152,1.079758296469405,0.3484356377745152,0.7941072791098538,6774,20,10.0,85,95,0.37,1.36,4.98,301.51,-7492.97,0.47,0.63,0.29,0.15,0.33,0.33,690.45,5.75,16.41,1.48,29.12,33.18,37.7,1.33,25.07,90.39,11.08,1,1,0.36,0.57,0.21,1.65,1,1391.11,27.5,34.86,18.34,0,1.54,5.49,0.03,16.52,5.46,50.58,0,0,0.3987761199573678
1000,1.08,1.4293097030698978,1.6116784597441043,20.5,72.5,1.258348572167498,1.7523340285787994,1.9142147196871888,0.7941072791098538,1076,35,6.0,60,85,0.37,1.03,3.88,303.22,11.13,0.32,0.37,0.26,0.05,0.11,0.15,953.56,5.75,16.41,1.48,29.12,33.18,37.7,1.33,25.07,90.39,11.08,1,1,0.25,0.49,0.24,2.04,1,1997.22,27.31,37.3,15.39,15,1.92,6.08,0.13,21.91,5.95,73.12,1,0,0.7323678937132266
4,0.5,1.1160949214731757,1.6116784597441043,21.5,82.5,1.1220013803277096,1.7523340285787994,1.9142147196871888,1.543068696111746,2,38,5.0,70,95,0.5,2.27,5.23,302.53,17.05,0.37,0.56,0.23,0.14,0.33,0.38,845.53,5.58,13.79,1.33,32.68,28.85,38.46,1.27,23.21,91.96,10.36,1,1,0.28,0.31,0.03,1.13,1,1145.52,26.89,38.65,12.79,22,0.21,0.99,0.01,25.86,0.98,42.59,2,1,0.4054651081081644
1923,1.0,1.243403640439326,1.6116784597441043,31.5,70.0,1.8006585698829893,1.7523340285787994,1.9142147196871888,2.5690178254016836,1925,36,27.0,50,90,0.3,1.84,4.58,301.71,15.46,0.23,0.36,0.13,0.09,0.23,0.41,933.01,5.84,24.75,2.65,38.4,24.54,37.07,1.28,22.94,90.83,9.34,1,1,0.21,0.22,0.01,1.16,0,897.09,28.3,38.75,16.37,34,2.79,6.68,0.12,22.38,6.56,31.7,2,1,0.6931471805599453
1787,3.23,1.4932427508038448,1.1991979446711325,22.5,60.0,0.9432757710778287,1.079758296469405,1.0048360915091592,0.9127464380043895,5766,30,15.0,50,70,0.31,1.02,4.7,298.65,-2494.71,0.45,0.5,0.39,0.05,0.11,0.11,856.04,5.99,19.54,1.47,39.89,19.7,40.41,1.28,24.01,89.24,13.28,1,1,0.21,0.25,0.05,1.31,1,91.4,19.21,30.12,7.92,0,1.42,5.1,0.04,22.2,5.06,4.76,0,0,1.4422019930581866
6623,2.04,1.037636095790853,1.6116784597441043,25.0,70.0,2.4475808009081272,1.6799936034149514,1.8369797003098443,1.8369797003098443,13509,30,20.0,60,80,0.32,1.32,4.17,301.6,14.38,0.28,0.32,0.19,0.06,0.13,0.21,959.51,5.73,28.15,2.44,27.75,24.02,48.24,1.27,22.49,90.35,11.53,1,1,0.35,0.36,0.02,1.06,1,1000.13,28.22,37.02,17.22,16,3.03,6.44,0.07,19.8,6.37,35.44,2,0,1.1118575154181303
1498,4.62,1.5800588054973221,1.2189924547979805,16.0,85.0,1.7018840284699794,1.079758296469405,1.0754915249177393,1.5717819986173847,6914,22,10.0,75,95,0.42,1.44,4.95,301.59,-7492.92,0.47,0.65,0.3,0.15,0.36,0.31,662.49,6.0,15.44,1.64,29.14,32.45,38.4,1.31,25.93,88.85,9.41,1,1,0.19,0.19,0.0,1.03,0,1114.52,27.58,34.74,17.2,0,1.71,6.02,0.02,17.54,6.0,40.41,0,0,1.7263316639055997
75,4.08,1.3383003130892874,1.2189924547979805,14.5,82.5,1.2223325870702502,1.4768972278502244,1.4022535044360809,1.4022535044360809,306,24,5.0,70,95,0.3,2.18,5.12,300.68,-7492.96,0.4,0.53,0.26,0.14,0.27,0.35,679.02,5.93,20.48,2.1,32.6,23.58,43.84,1.27,22.72,89.07,9.75,1,1,0.37,0.41,0.04,1.12,1,1252.47,27.81,33.81,18.59,0,1.68,6.2,0.06,15.22,6.14,45.03,0,0,1.6253112615903906
41,5.27,1.4289776420354268,1.2189924547979805,30.0,80.0,1.3566218605396905,1.53184307317204,1.5458777583788648,1.4417184946776644,216,35,25.0,70,90,0.44,1.65,5.25,301.85,-7492.91,0.44,0.64,0.26,0.18,0.38,0.4,715.31,6.47,15.21,1.24,38.6,22.11,39.3,1.32,24.81,88.94,12.26,1,1,0.22,0.25,0.04,1.23,1,783.3,27.98,35.83,17.28,4,2.05,7.97,0.07,18.55,7.9,27.99,1,0,1.8357763546448294
390,4.91,1.240588492925395,1.1991979446711325,20.0,60.0,1.2771383559363356,1.3931756437883385,1.9142147196871888,1.2771383559363356,1914,25,15.0,50,70,0.32,1.43,5.12,299.07,-2494.6,0.47,0.51,0.37,0.06,0.13,0.13,687.83,6.08,16.13,2.15,32.01,29.74,38.23,1.3,24.49,91.76,7.5,1,1,0.15,0.22,0.08,1.57,0,83.51,19.11,30.34,8.06,0,0.93,3.7,0.01,22.28,3.69,4.37,0,0,1.776645831418007
1590,22.24,1.3716297226915766,1.6116784597441043,34.5,82.5,3.337377080920379,1.7523340285787994,1.9142147196871888,2.5690178254016836,35359,47,22.0,70,95,0.32,0.97,3.43,302.76,20.96,0.26,0.39,0.07,0.16,0.33,0.61,805.84,6.01,15.94,1.43,37.14,25.3,37.54,1.28,25.63,88.63,11.14,1,1,0.21,0.22,0.01,1.1,0,907.84,28.49,40.66,13.08,52,2.13,6.43,0.08,27.58,6.35,31.87,2,1,3.1458749319837103
2715,1.3,1.1522596262143072,1.6116784597441043,25.0,70.0,2.523037362544367,1.5344047534671337,1.8369797003098443,1.8369797003098443,3540,30,20.0,60,80,0.35,1.05,3.62,303.03,18.52,0.26,0.34,0.11,0.1,0.23,0.4,967.61,5.75,17.96,1.49,32.53,28.89,38.58,1.3,24.0,90.42,12.05,1,1,0.41,0.41,0.0,1.0,1,1043.06,28.51,40.93,15.5,46,2.54,6.3,0.09,25.43,6.21,36.58,2,1,0.832909122935104
21,0.86,1.5737442827660881,1.1991979446711325,27.5,85.0,0.5494230728139253,1.079758296469405,1.0048360915091592,0.9127464380043895,18,35,20.0,80,90,0.39,1.38,5.67,298.21,-2493.01,0.55,0.64,0.45,0.08,0.19,0.14,831.14,6.22,19.2,1.42,37.87,18.94,43.2,1.28,23.78,88.64,13.51,1,1,0.18,0.24,0.06,1.42,0,80.82,19.01,30.41,7.46,0,1.46,4.88,0.07,22.95,4.81,4.25,0,0,0.6205764877251099
31,4.06,1.529694747022075,1.6116784597441043,32.5,65.0,1.4234486172772658,1.3931756437883385,1.4234486172772658,1.4234486172772658,126,40,25.0,50,80,0.35,1.2,4.1,302.06,13.81,0.25,0.34,0.09,0.11,0.25,0.46,1131.74,5.64,20.12,2.85,32.88,22.11,45.02,1.27,23.21,90.35,7.06,1,1,0.19,0.25,0.06,1.4,0,897.09,28.3,38.75,16.37,34,2.79,6.68,0.12,22.38,6.56,31.7,2,1,1.6213664832993742
87,2.39,1.214521743194187,1.6116784597441043,27.5,85.0,1.2302460256469363,1.5344047534671337,1.8369797003098443,1.8369797003098443,208,35,20.0,80,90,0.37,1.4,4.36,301.67,13.11,0.35,0.4,0.26,0.06,0.14,0.18,918.27,5.79,33.57,4.33,29.02,23.88,47.1,1.22,22.51,90.01,7.75,1,1,0.34,0.35,0.01,1.02,1,656.33,28.88,41.26,16.01,54,2.48,5.86,0.04,25.25,5.82,22.73,2,1,1.220829921392359
4526,3.85,1.5800588054973221,1.1991979446711325,22.5,60.0,0.9432757710778287,1.079758296469405,1.0048360915091592,0.9127464380043895,17408,30,15.0,50,70,0.29,1.06,4.67,297.14,-2495.77,0.43,0.6,0.32,0.13,0.28,0.3,871.5,6.0,15.44,1.64,29.14,32.45,38.4,1.31,25.93,88.85,9.41,1,1,0.18,0.18,0.0,1.01,0,73.57,17.97,29.3,7.09,0,1.29,7.48,0.03,22.21,7.45,4.09,0,0,1.5789787049493917
341,0.6,1.4677978039078508,1.2189924547979805,27.5,35.0,0.3425417480461741,0.8839035603592973,0.34472437888141116,0.34472437888141116,205,35,20.0,25,45,0.32,1.13,4.06,300.98,-7492.92,0.31,0.46,0.11,0.15,0.35,0.48,759.36,5.92,19.91,1.93,36.51,29.44,34.05,1.29,24.89,90.73,10.31,1,1,0.37,0.37,0.01,1.02,1,1391.11,27.5,34.86,18.34,0,1.54,5.49,0.03,16.52,5.46,50.58,0,0,0.4700036292457356
57,2.39,1.4668715418678846,1.6116784597441043,25.0,72.5,1.1120259413151894,1.7523340285787994,1.1120259413151894,1.1120259413151894,136,30,20.0,60,85,0.41,1.12,4.07,301.29,14.02,0.37,0.5,0.31,0.09,0.19,0.24,924.63,5.92,22.91,1.96,30.11,20.69,49.19,1.28,23.49,89.42,11.68,1,1,0.24,0.28,0.03,1.19,1,558.92,29.28,43.33,15.19,58,2.48,6.36,0.08,28.14,6.28,19.09,2,1,1.220829921392359
579,2.81,1.3633528605447618,1.2189924547979805,17.0,75.0,1.915090342655554,1.4768972278502244,1.915090342655554,1.2859629212449377,1629,24,10.0,60,90,0.36,1.47,5.15,301.26,-7492.92,0.42,0.56,0.23,0.15,0.32,0.37,775.99,6.26,17.25,1.33,33.5,25.3,41.19,1.31,23.6,89.84,12.96,1,1,0.31,0.38,0.07,1.23,1,1135.85,27.83,33.44,19.14,0,2.17,8.05,0.09,14.3,7.96,40.81,0,0,1.3376291891386096
1228,4.8,1.251833352703168,1.6116784597441043,25.0,70.0,2.4475808009081272,1.6799936034149514,1.8369797003098443,1.8369797003098443,5897,30,20.0,60,80,0.36,1.08,3.95,302.35,15.87,0.28,0.44,0.13,0.13,0.31,0.45,913.0,5.39,19.73,1.67,36.14,26.69,37.19,1.3,23.46,91.18,11.81,0,1,0.33,0.32,-0.01,0.98,1,1026.98,27.6,38.63,14.34,31,2.44,6.32,0.11,24.29,6.21,37.2,2,1,1.7578579175523736
392,1.69,1.3383003130892874,1.6116784597441043,24.0,70.0,1.3593820706254796,1.7523340285787994,1.9142147196871888,1.4417184946776644,664,38,10.0,60,80,0.24,1.62,3.79,302.01,13.14,0.22,0.27,0.12,0.07,0.15,0.31,1000.83,5.93,20.48,2.1,32.6,23.58,43.84,1.27,22.72,89.07,9.75,1,1,0.25,0.32,0.07,1.28,1,441.07,29.43,42.85,15.91,64,2.15,5.36,0.14,26.94,5.22,14.99,2,1,0.9895411936137477
145,2.32,1.2349729295662233,1.1991979446711325,17.5,77.5,1.2784290469029125,1.629274661934818,1.629274661934818,1.629274661934818,336,25,10.0,60,95,0.25,0.81,3.74,297.97,-2494.82,0.34,0.51,0.24,0.12,0.26,0.36,1024.63,5.59,17.13,1.51,36.5,26.57,36.92,1.32,25.09,89.87,11.34,1,1,0.13,0.2,0.07,1.55,0,82.59,19.2,29.93,8.25,0,1.23,4.57,0.07,21.68,4.5,4.3,0,0,1.199964782928397
1266,3.13,1.3255050778801802,1.6116784597441043,20.5,72.5,1.258348572167498,1.7523340285787994,1.9142147196871888,0.7941072791098538,3966,35,6.0,60,85,0.32,1.59,4.47,301.33,14.39,0.26,0.32,0.21,0.05,0.12,0.19,984.97,5.52,31.68,3.47,32.55,28.9,38.55,1.26,23.22,90.65,9.13,1,1,0.13,0.2,0.07,1.54,0,897.09,28.3,38.75,16.37,34,2.79,6.68,0.12,22.38,6.56,31.7,2,1,1.4182774069729414
864,5.05,1.2349729295662233,1.2189924547979805,30.0,80.0,1.3566218605396905,1.53184307317204,1.5458777583788648,1.4417184946776644,4361,35,25.0,70,90,0.35,1.36,4.67,300.82,-7492.91,0.37,0.52,0.19,0.15,0.33,0.41,775.79,5.59,17.13,1.51,36.5,26.57,36.92,1.32,25.09,89.87,11.34,1,1,0.23,0.27,0.04,1.23,1,1091.34,27.75,34.86,18.48,0,1.95,6.82,0.07,16.38,6.75,39.33,0,0,1.80005827204275
1652,6.14,1.4474742411665287,1.1991979446711325,20.0,60.0,1.7299900286510896,1.4768972278502244,1.4022535044360809,1.4022535044360809,10139,25,15.0,50,70,0.31,1.15,4.71,298.19,-2496.45,0.48,0.61,0.42,0.08,0.19,0.17,652.18,6.15,19.27,1.81,29.39,19.9,50.71,1.33,23.17,89.21,10.64,1,1,0.28,0.35,0.07,1.29,1,127.01,19.34,30.76,7.52,0,1.35,4.74,0.03,23.24,4.71,6.57,0,0,1.965712776351493
143,1.57,1.3457434038849054,1.6116784597441043,27.5,90.0,0.983366198810318,1.196807608531181,1.2685770170530783,0.983366198810318,224,35,20.0,80,100,0.41,1.51,4.38,303.01,16.76,0.35,0.46,0.29,0.08,0.17,0.22,946.27,6.31,14.48,1.39,37.8,22.9,39.3,1.3,22.33,91.83,10.41,1,1,0.28,0.3,0.02,1.16,1,1205.62,27.63,36.72,15.16,4,2.86,6.45,0.12,21.56,6.33,43.63,1,0,0.9439058989071284
120,8.46,1.4668715418678846,1.2189924547979805,30.0,75.0,2.121491487947332,1.7523340285787994,1.9142147196871888,1.2518971587022245,1015,35,25.0,60,90,0.42,1.7,5.52,301.93,-7492.93,0.46,0.72,0.23,0.22,0.49,0.47,717.91,5.92,22.91,1.96,30.11,20.69,49.19,1.28,23.49,89.42,11.68,1,1,0.21,0.26,0.05,1.35,1,996.2,27.8,34.21,18.74,0,2.16,7.83,0.11,15.47,7.72,35.83,0,0,2.247072383063787
340,3.05,1.2168014276840646,1.2189924547979805,26.5,75.0,1.4772132269074678,1.4768972278502244,1.4772132269074678,1.2567762124029556,1036,35,18.0,70,80,0.32,1.4,4.63,301.53,-7492.92,0.39,0.54,0.18,0.16,0.36,0.4,736.66,5.61,19.98,1.81,28.45,42.62,28.93,1.24,24.74,91.69,11.03,1,1,0.35,0.37,0.02,1.07,1,1626.4,27.89,35.28,17.48,2,1.23,5.03,0.02,17.8,5.01,58.31,1,0,1.3987168811184478
257,1.95,1.1727383030528649,1.1991979446711325,25.5,87.5,1.1023108130968968,0.7303806271907236,1.1023108130968968,1.8440447419140888,501,27,24.0,85,90,0.3,1.0,4.61,297.44,-2495.23,0.43,0.53,0.35,0.08,0.18,0.18,865.65,6.15,14.69,1.6,36.38,22.19,41.44,1.28,24.6,88.29,9.18,1,1,0.17,0.2,0.03,1.25,0,67.62,18.76,31.13,7.74,0,1.57,5.4,0.03,23.39,5.37,3.6,0,0,1.0818051703517284
4477,0.41,1.4820239710315222,1.2189924547979805,15.0,90.0,0.3484356377745152,1.079758296469405,0.3484356377745152,0.7941072791098538,1851,20,10.0,85,95,0.41,1.36,5.16,302.65,-7493.13,0.43,0.61,0.14,0.21,0.47,0.5,710.15,6.07,20.18,1.46,38.89,18.38,42.72,1.3,23.64,88.85,13.81,1,1,0.21,0.25,0.05,1.28,1,774.47,27.95,35.82,17.95,3,2.2,7.92,0.06,17.87,7.86,27.71,1,0,0.3435897043900769
279580,1.1,1.5800588054973221,1.2189924547979805,26.0,72.5,0.6996623936647252,1.5344047534671337,0.6996623936647252,0.6996623936647252,308476,40,12.0,60,85,0.42,1.44,4.95,301.59,-7492.92,0.47,0.65,0.3,0.15,0.36,0.31,662.49,6.0,15.44,1.64,29.14,32.45,38.4,1.31,25.93,88.85,9.41,1,1,0.28,0.25,-0.02,0.92,1,1114.52,27.58,34.74,17.2,0,1.71,6.02,0.02,17.54,6.0,40.41,0,0,0.7419373447293773
424,2.89,1.463618376247392,1.6116784597441043,20.0,80.0,1.1875576268764718,1.7523340285787994,1.150849062005901,1.1875576268764718,1226,30,10.0,75,85,0.11,0.74,2.11,300.21,24.67,-0.0,0.24,-0.2,0.18,0.44,0.0,1070.65,5.89,15.26,1.56,33.84,29.64,36.52,1.33,25.07,91.4,9.78,1,1,0.38,0.37,-0.01,0.98,1,3216.48,26.8,36.2,14.8,5,1.69,6.12,0.11,21.4,6.01,120.01,1,0,1.358409157630355
110,7.69,1.5737442827660881,1.2189924547979805,23.5,61.0,1.6219247880810246,1.4768972278502244,1.2470237675920655,1.6219247880810246,846,32,15.0,52,70,0.43,1.39,5.17,302.52,-7493.04,0.44,0.66,0.13,0.24,0.53,0.54,737.19,6.22,19.2,1.42,37.87,18.94,43.2,1.28,23.78,88.64,13.51,1,1,0.23,0.26,0.03,1.17,1,762.83,28.12,36.28,18.19,9,2.27,8.43,0.04,18.09,8.39,27.12,1,0,2.162172939277301
276,2.82,1.4519737014447593,1.6116784597441043,23.0,80.0,1.1141404971353301,1.7523340285787994,1.150849062005901,1.2567762124029556,777,28,18.0,70,90,0.31,0.96,3.53,302.11,21.62,0.27,0.4,0.12,0.11,0.28,0.43,1086.7,6.18,17.93,1.68,35.2,21.52,43.28,1.3,24.85,89.37,10.67,1,1,0.24,0.27,0.02,1.14,1,895.25,28.69,40.21,14.25,47,2.44,6.82,0.06,25.96,6.76,31.2,2,1,1.3402504226184837
100,113.11,1.4474742411665287,1.6116784597441043,34.5,82.5,3.337377080920379,1.7523340285787994,1.9142147196871888,2.5690178254016836,11311,47,22.0,70,95,0.34,1.05,3.85,303.47,11.44,0.34,0.51,0.19,0.14,0.32,0.42,922.29,6.15,19.27,1.81,29.39,19.9,50.71,1.33,23.17,89.21,10.64,1,1,0.21,0.28,0.07,1.47,1,485.51,29.43,43.88,15.04,64,2.54,6.63,0.04,28.84,6.59,16.5,2,1,4.7371628954465885
35,1.09,1.3863086715765058,1.6116784597441043,27.5,90.0,0.983366198810318,1.196807608531181,1.2685770170530783,0.983366198810318,38,35,20.0,80,100,0.27,1.06,3.28,301.85,21.54,0.25,0.41,0.14,0.11,0.27,0.45,850.81,5.58,32.61,2.19,28.52,25.83,45.65,1.23,24.37,91.41,14.88,1,1,0.31,0.32,0.02,1.14,1,2073.38,27.74,37.77,14.75,26,2.17,6.14,0.09,23.02,6.05,74.75,2,0,0.7371640659767197
621,1.04,1.243403640439326,1.1991979446711325,20.0,80.0,1.0322053374559923,1.4768972278502244,1.4022535044360809,1.4022535044360809,644,25,15.0,70,90,0.28,2.03,5.6,297.96,-2495.22,0.36,0.43,0.26,0.08,0.17,0.21,709.79,5.84,24.75,2.65,38.4,24.54,37.07,1.28,22.94,90.83,9.34,1,1,0.27,0.29,0.02,1.08,1,130.03,19.79,29.93,9.59,0,1.58,4.92,0.03,20.34,4.89,6.57,0,0,0.712949807856125
642,3.2,1.243403640439326,1.6116784597441043,20.0,80.0,1.1875576268764718,1.7523340285787994,1.150849062005901,1.1875576268764718,2054,30,10.0,75,85,0.3,1.84,4.58,301.71,15.46,0.23,0.36,0.13,0.09,0.23,0.41,933.01,5.84,24.75,2.65,38.4,24.54,37.07,1.28,22.94,90.83,9.34,1,1,0.27,0.27,0.0,1.06,1,897.09,28.3,38.75,16.37,34,2.79,6.68,0.12,22.38,6.56,31.7,2,1,1.4350845252893227
572,4.96,1.6695917031532637,1.1991979446711325,25.0,80.0,1.3500241567906766,1.196807608531181,1.2685770170530783,1.3623176356363635,2835,32,18.0,75,85,0.32,1.12,4.86,298.34,-2493.83,0.45,0.51,0.34,0.08,0.18,0.18,804.93,5.96,19.52,2.05,35.95,25.15,38.89,1.28,23.9,89.13,9.52,1,1,0.19,0.23,0.04,1.31,0,91.4,19.21,30.12,7.92,0,1.42,5.1,0.04,22.2,5.06,4.76,0,0,1.7850704810772584
1175,23.14,1.4470782434604412,1.6116784597441043,34.5,82.5,3.337377080920379,1.7523340285787994,1.9142147196871888,2.5690178254016836,27184,47,22.0,70,95,0.34,1.07,3.61,302.28,18.51,0.28,0.38,0.07,0.15,0.32,0.53,835.18,5.47,21.69,1.54,35.94,30.81,33.25,1.25,23.92,90.72,14.08,0,1,0.27,0.29,0.02,1.1,1,1043.06,28.51,40.93,15.5,46,2.54,6.3,0.09,25.43,6.21,36.58,2,1,3.1838702156693857
124,5.0,1.5083334186281598,1.2189924547979805,29.0,65.0,2.585778670731281,1.079758296469405,2.585778670731281,1.8440447419140888,620,38,20.0,45,85,0.32,1.13,4.53,302.32,-7492.92,0.35,0.48,0.21,0.12,0.28,0.34,874.99,5.64,15.62,1.6,35.04,30.21,34.77,1.3,23.62,90.5,9.76,1,1,0.29,0.31,0.02,1.13,1,1147.69,27.87,33.03,18.76,0,2.2,7.91,0.03,14.27,7.88,41.18,0,0,1.791759469228055
321264,1.63,1.2349729295662233,1.1991979446711325,26.0,72.5,0.9792664045225464,0.9339800363187066,1.319318177962505,1.192204112183712,523837,40,12.0,60,85,0.25,0.81,3.74,297.97,-2494.82,0.34,0.51,0.24,0.12,0.26,0.36,1024.63,5.59,17.13,1.51,36.5,26.57,36.92,1.32,25.09,89.87,11.34,1,1,0.17,0.21,0.05,1.33,0,82.59,19.2,29.93,8.25,0,1.23,4.57,0.07,21.68,4.5,4.3,0,0,0.9669838461896731
699,2.85,1.2603746293312308,1.6116784597441043,22.5,75.0,1.4390752953128623,1.196807608531181,1.4390752953128623,1.4390752953128623,1991,27,18.0,65,85,0.25,0.8,3.02,302.06,18.65,0.24,0.47,0.06,0.17,0.41,0.72,799.06,5.7,25.48,2.96,34.18,25.82,40.02,1.29,23.96,91.12,8.61,1,1,0.3,0.32,0.02,1.14,1,1184.34,28.06,39.2,14.82,43,2.31,6.61,0.12,24.38,6.49,42.21,2,1,1.3480731482996928
432,0.5,1.4289776420354268,1.2189924547979805,15.0,90.0,0.3484356377745152,1.079758296469405,0.3484356377745152,0.7941072791098538,216,20,10.0,85,95,0.44,1.65,5.25,301.85,-7492.91,0.44,0.64,0.26,0.18,0.38,0.4,715.31,6.47,15.21,1.24,38.6,22.11,39.3,1.32,24.81,88.94,12.26,1,1,0.19,0.23,0.05,1.3,0,783.3,27.98,35.83,17.28,4,2.05,7.97,0.07,18.55,7.9,27.99,1,0,0.4054651081081644
346,2.77,1.4519737014447593,1.2189924547979805,21.0,70.0,1.1794051152761384,0.8839035603592973,1.2920322463390859,1.2859629212449377,958,30,12.0,65,75,0.41,1.5,5.03,301.07,-7492.92,0.38,0.6,0.15,0.2,0.46,0.54,788.54,6.18,17.93,1.68,35.2,21.52,43.28,1.3,24.85,89.37,10.67,1,1,0.23,0.26,0.03,1.18,1,913.65,27.94,34.8,18.46,0,2.24,7.91,0.03,16.34,7.88,32.7,0,0,1.3270750014599193
542,1.48,1.1483034696806422,1.6116784597441043,20.0,80.0,1.1875576268764718,1.7523340285787994,1.150849062005901,1.1875576268764718,801,30,10.0,75,85,0.48,2.69,5.57,301.97,17.29,0.37,0.61,0.22,0.17,0.39,0.47,844.83,5.7,24.39,2.13,32.36,27.91,39.73,1.25,22.65,92.18,11.45,1,1,0.31,0.33,0.02,1.07,1,1205.62,27.63,36.72,15.16,4,2.86,6.45,0.12,21.56,6.33,43.63,1,0,0.9082585601768908
90,22.23,1.5519341611586799,1.6116784597441043,30.0,80.0,2.6791455542846143,1.7523340285787994,1.9142147196871888,2.6791455542846143,2001,35,25.0,70,90,0.39,1.11,3.96,301.82,15.88,0.34,0.42,0.24,0.07,0.18,0.22,934.65,5.84,28.05,4.03,30.96,22.82,46.22,1.25,23.74,89.57,6.96,1,1,0.18,0.23,0.04,1.36,0,558.92,29.28,43.33,15.19,58,2.48,6.36,0.08,28.14,6.28,19.09,2,1,3.145444546782318
35,11.03,1.4045669228288984,1.2189924547979805,25.0,70.0,1.7229837679595796,1.5344047534671337,1.5461337713420658,1.5461337713420658,386,30,20.0,65,75,0.34,2.79,5.78,300.16,-7492.94,0.51,0.62,0.37,0.11,0.25,0.21,517.82,5.73,33.97,3.89,28.25,22.23,49.52,1.23,22.66,89.79,8.73,1,1,0.44,0.48,0.04,1.09,1,1451.65,27.77,33.57,18.56,0,2.06,7.47,0.04,15.01,7.43,52.27,0,0,2.4874035299865875
357,1.82,1.4519737014447593,1.1991979446711325,20.0,75.0,1.0614517643863652,1.4768972278502244,1.4022535044360809,1.4022535044360809,648,25,15.0,70,80,0.29,1.0,4.4,298.09,-2493.92,0.38,0.5,0.31,0.09,0.19,0.24,886.57,6.18,17.93,1.68,35.2,21.52,43.28,1.3,24.85,89.37,10.67,1,1,0.22,0.25,0.03,1.2,1,83.29,18.82,29.65,7.78,0,1.38,6.64,0.04,21.87,6.6,4.43,0,0,1.0367368849500223
67,0.25,1.1160949214731757,1.2189924547979805,15.0,90.0,0.3484356377745152,1.079758296469405,0.3484356377745152,0.7941072791098538,17,20,10.0,85,95,0.55,3.39,7.05,300.93,-7492.93,0.6,0.8,0.34,0.22,0.47,0.37,500.11,5.58,13.79,1.33,32.68,28.85,38.46,1.27,23.21,91.96,10.36,1,1,0.25,0.29,0.04,1.19,1,1337.03,27.64,38.46,18.2,10,0.1,0.86,0.0,20.26,0.86,48.38,1,1,0.22314355131420976
317,1.55,1.4061628483696622,1.6116784597441043,25.0,72.5,1.1120259413151894,1.7523340285787994,1.1120259413151894,1.1120259413151894,491,30,20.0,60,85,0.33,1.01,3.49,302.12,22.66,0.24,0.4,0.05,0.15,0.35,0.61,985.05,5.6,12.12,1.24,30.27,32.89,36.88,1.3,25.64,89.08,9.77,1,1,0.28,0.27,-0.01,0.97,1,1198.2,28.21,38.3,13.81,31,2.29,5.95,0.08,24.49,5.87,42.47,2,1,0.9360933591703349
6,1.67,1.3255050778801802,1.6116784597441043,21.5,82.5,1.1220013803277096,1.7523340285787994,1.9142147196871888,1.543068696111746,10,38,5.0,70,95,0.32,1.59,4.47,301.33,14.39,0.26,0.32,0.21,0.05,0.12,0.19,984.97,5.52,31.68,3.47,32.55,28.9,38.55,1.26,23.22,90.65,9.13,1,1,0.26,0.28,0.02,1.16,1,897.09,28.3,38.75,16.37,34,2.79,6.68,0.12,22.38,6.56,31.7,2,1,0.9820784724121582
653,2.0,1.2603746293312308,1.6116784597441043,29.0,67.5,1.9311111243833086,1.7523340285787994,1.9142147196871888,1.543068696111746,1305,35,23.0,50,85,0.25,0.8,3.02,302.06,18.65,0.24,0.47,0.06,0.17,0.41,0.72,799.06,5.7,25.48,2.96,34.18,25.82,40.02,1.29,23.96,91.12,8.61,1,1,0.28,0.3,0.03,1.15,1,1184.34,28.06,39.2,14.82,43,2.31,6.61,0.12,24.38,6.49,42.21,2,1,1.0986122886681098
484,3.84,1.243403640439326,1.6116784597441043,30.0,75.0,1.7246577962814393,1.196807608531181,1.2685770170530783,1.3623176356363635,1859,40,20.0,70,80,0.3,1.84,4.58,301.71,15.46,0.23,0.36,0.13,0.09,0.23,0.41,933.01,5.84,24.75,2.65,38.4,24.54,37.07,1.28,22.94,90.83,9.34,1,1,0.25,0.26,0.01,1.15,1,897.09,28.3,38.75,16.37,34,2.79,6.68,0.12,22.38,6.56,31.7,2,1,1.5769147207285403
