Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Min Relative Humidity,Max Relative Humidity,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,Latitude,Longitude,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,Log_Yield
318,1.93,1.555456472997049,1.1991979446711325,20.0,80.0,1.0322053374559923,1.4768972278502244,1.4022535044360809,1.4022535044360809,613,25,15.0,70,90,0.29,1.03,4.41,297.98,-2495.23,0.37,0.47,0.32,0.07,0.15,0.19,939.45,5.87,16.81,1.53,30.62,29.44,39.96,1.34,24.46,89.71,10.98,1,1,0.22,0.26,0.04,1.21,1,85.72,19.22,30.4,8.23,0,1.38,4.37,0.01,22.17,4.36,4.46,0,0,1.0750024230289759
1717,9.88,1.3690940807426484,1.2189924547979805,19.0,77.5,1.7698169331608362,1.4768972278502244,1.4251861916589506,1.2859629212449377,16965,30,8.0,70,85,0.41,1.47,5.06,301.65,-7492.91,0.48,0.67,0.14,0.24,0.53,0.5,722.08,5.73,16.23,1.49,31.27,29.94,38.8,1.31,24.89,90.38,10.89,1,1,0.25,0.27,0.03,1.12,1,1391.11,27.5,34.86,18.34,0,1.54,5.49,0.03,16.52,5.46,50.58,0,0,2.3869262414277967
51,1.22,1.0356788272781852,1.1991979446711325,25.0,80.0,1.0833180441595383,1.196807608531181,1.2685770170530783,1.3623176356363635,62,32,18.0,75,85,0.25,0.74,3.72,299.84,-2491.07,0.33,0.39,0.28,0.05,0.12,0.15,811.69,5.73,17.04,1.8,25.82,35.1,39.05,1.32,22.01,90.38,9.46,1,1,0.31,0.35,0.04,1.2,1,270.62,21.4,29.2,13.89,0,2.5,5.94,0.12,15.31,5.82,12.64,0,0,0.7975071958841881
66,2.59,1.3457434038849054,1.1991979446711325,20.5,60.0,1.3274219324613663,1.0571454172937447,1.0571454172937447,1.192204112183712,171,27,14.0,50,70,0.33,1.52,5.45,299.69,-2494.35,0.51,0.54,0.48,0.03,0.06,0.05,641.44,6.31,14.48,1.39,37.8,22.9,39.3,1.3,22.33,91.83,10.41,1,1,0.14,0.2,0.06,1.49,0,98.78,20.41,31.75,9.62,0,1.66,4.45,0.08,22.13,4.37,4.84,0,0,1.2781522025001875
31,7.58,1.5546106889696356,1.6116784597441043,25.0,70.0,1.7573517232489486,1.5344047534671337,1.8369797003098443,1.8369797003098443,235,30,20.0,60,80,0.31,0.87,3.27,303.4,16.5,0.24,0.27,0.21,0.03,0.07,0.12,1029.22,5.49,13.48,1.2,40.33,25.96,33.7,1.32,23.76,90.39,11.22,0,0,0.35,0.36,0.01,1.02,1,1043.06,28.51,40.93,15.5,46,2.54,6.3,0.09,25.43,6.21,36.58,2,1,2.149433913499871
756,0.39,1.4470782434604412,1.2189924547979805,22.5,75.0,0.3702762328366751,1.079758296469405,1.0754915249177393,0.40241332399171675,293,30,15.0,65,85,0.37,1.62,5.31,301.56,-7492.92,0.4,0.58,0.22,0.15,0.36,0.37,736.85,5.47,21.69,1.54,35.94,30.81,33.25,1.25,23.92,90.72,14.08,0,1,0.23,0.28,0.04,1.24,1,1137.55,27.81,33.68,18.24,0,1.99,7.4,0.04,15.44,7.36,40.9,0,0,0.3293037471426004
336,3.63,1.4472286022805247,1.2189924547979805,19.0,77.5,1.7698169331608362,1.4768972278502244,1.4251861916589506,1.2859629212449377,1221,30,8.0,70,85,0.44,2.36,5.94,301.55,-7492.9,0.44,0.59,0.29,0.14,0.31,0.32,639.36,6.29,16.93,1.27,39.98,17.38,42.65,1.32,21.44,91.98,13.32,1,1,0.21,0.26,0.04,1.29,1,2423.67,28.45,31.15,24.88,0,3.34,12.16,0.07,6.27,12.09,85.19,0,0,1.5325568680981427
36170,6.89,1.6684452313601519,1.1991979446711325,20.0,67.5,1.4169574734260064,1.079758296469405,1.0048360915091592,0.9127464380043895,249340,25,15.0,65,70,0.29,1.02,4.72,297.81,-2494.78,0.41,0.48,0.33,0.07,0.15,0.17,853.66,6.11,18.59,1.58,36.24,17.79,45.99,1.29,24.63,89.04,11.76,1,1,0.19,0.24,0.05,1.3,0,75.78,18.65,30.4,7.51,0,1.41,5.11,0.13,22.89,4.98,4.06,0,0,2.065596134857783
6,1.67,1.1522596262143072,1.1991979446711325,20.5,60.0,1.3274219324613663,1.0571454172937447,1.0571454172937447,1.192204112183712,10,27,14.0,50,70,0.3,1.05,4.57,298.57,-2494.01,0.44,0.51,0.35,0.08,0.16,0.18,656.88,5.75,17.96,1.49,32.53,28.89,38.58,1.3,24.0,90.42,12.05,1,1,0.22,0.27,0.05,1.25,1,82.23,19.61,30.39,8.94,0,1.25,3.9,0.06,21.45,3.84,4.19,0,0,0.9820784724121582
9553,0.51,1.4668715418678846,1.2189924547979805,22.5,75.0,0.3702762328366751,1.079758296469405,1.0754915249177393,0.40241332399171675,4870,30,15.0,65,85,0.42,1.7,5.52,301.93,-7492.93,0.46,0.72,0.23,0.22,0.49,0.47,717.91,5.92,22.91,1.96,30.11,20.69,49.19,1.28,23.49,89.42,11.68,1,1,0.22,0.27,0.05,1.29,1,996.2,27.8,34.21,18.74,0,2.16,7.83,0.11,15.47,7.72,35.83,0,0,0.412109650826833
