pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,District
57.0,260.0,372.3333333333333,281.0,214.0,504.6666666666667,122.33333333333333,Bagerhat
54.333333333333336,252.33333333333334,323.6666666666667,306.0,367.0,327.0,117.66666666666667,Bandarban
57.0,278.6666666666667,296.6666666666667,313.0,212.0,475.0,125.66666666666667,Barguna
55.666666666666664,210.66666666666666,185.0,326.3333333333333,256.6666666666667,417.3333333333333,128.0,Bhola
53.666666666666664,178.33333333333334,162.33333333333334,339.3333333333333,278.0,382.6666666666667,125.66666666666667,Brahmanbaria
55.0,182.0,193.0,316.3333333333333,375.3333333333333,308.6666666666667,129.66666666666666,CoxsBazar
57.666666666666664,144.0,138.66666666666666,322.6666666666667,279.0,398.3333333333333,137.0,Gaibandha
55.333333333333336,281.3333333333333,315.0,302.6666666666667,224.0,473.6666666666667,126.33333333333333,Gopalganj
65.0,126.0,119.66666666666667,371.0,229.66666666666666,398.6666666666667,130.33333333333334,Joypurhat
54.0,135.33333333333334,130.0,286.6666666666667,309.6666666666667,403.6666666666667,129.66666666666666,Khagrachari
59.666666666666664,611.0,524.0,334.3333333333333,175.66666666666666,490.0,124.0,Khulna
56.0,248.66666666666666,307.0,346.3333333333333,308.6666666666667,345.3333333333333,127.0,Lakshmipur
56.0,239.0,364.6666666666667,326.6666666666667,263.0,410.0,125.0,Madaripur
61.333333333333336,270.0,156.66666666666666,319.3333333333333,179.66666666666666,501.3333333333333,127.66666666666667,Magura
56.666666666666664,171.0,145.33333333333334,339.0,243.66666666666666,417.3333333333333,131.33333333333334,Manikganj
66.0,150.0,124.66666666666667,376.6666666666667,174.66666666666666,448.6666666666667,129.0,Meherpur
55.0,161.0,218.0,259.6666666666667,420.0,320.3333333333333,129.66666666666666,Moulvibazar
58.666666666666664,141.0,145.0,280.0,324.3333333333333,396.0,134.0,Narail
54.333333333333336,178.0,195.0,340.6666666666667,273.6666666666667,386.0,129.0,Noakhali
61.0,212.0,167.0,318.6666666666667,173.66666666666666,507.6666666666667,127.0,Rajbari
66.33333333333333,176.33333333333334,117.0,469.6666666666667,174.66666666666666,355.6666666666667,131.0,Rajshahi
60.0,134.66666666666666,124.33333333333333,324.6666666666667,277.3333333333333,398.0,133.0,Rangpur
59.0,238.66666666666666,297.6666666666667,335.3333333333333,165.33333333333334,499.6666666666667,125.66666666666667,Satkhira
54.333333333333336,205.33333333333334,271.0,316.3333333333333,266.0,417.6666666666667,125.0,Shariatpur
54.0,165.66666666666666,185.0,297.3333333333333,421.3333333333333,281.3333333333333,129.0,Sunamganj
53.666666666666664,249.33333333333334,239.0,284.3333333333333,450.3333333333333,264.6666666666667,124.66666666666667,Sylhet
61.0,163.0,127.0,299.3333333333333,316.3333333333333,384.3333333333333,134.0,Tangail
