Area,District,Season,Crop Name,Transplant,Growth,Harvest,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,EVI,LAI,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Max,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Rain_Temp_Ratio,Extreme_Heat_Risk,is_extreme_Wind_Max,Yield
-0.1959620065054304,Bagerhat,Rabi,Wheat,December,Jan To March,April,-1.843402588238602,-0.2873352377074204,-1.288480900201188,-2.0931328518967343,-0.5183524096172182,2.3267711942265965,-1.9959662480396063,-1.0860293271474049,0.4967049087639,-1.226137378085482,-1.2543124475919334,-1.707466453994524,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,0.1488893113586244,0.8007811545244576,1.365928665904563,1.225749276307218,Optimal,-1.048795610244615,-0.6532453335566707,-0.7758144248917377,-1.0748250850846464,-0.6619825439930697,-0.9293618525726388,Low Risk,-0.153355415263025,0.7722007722007722
-0.1922953389826419,Bagerhat,Rabi,Maize 2,December,Jan To March,April,-0.6560671679059114,-0.5647333636740542,-1.288480900201188,-1.5081209407328424,-0.5183524096172182,2.3267711942265965,-1.9959662480396063,-1.0860293271474049,0.4967049087639,-1.226137378085482,-1.2543124475919334,-1.707466453994524,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,0.1488893113586244,0.8007811545244576,1.365928665904563,1.225749276307218,Optimal,-1.048795610244615,-0.6532453335566707,-0.7758144248917377,-1.0748250850846464,-0.6619825439930697,-0.9293618525726388,Low Risk,-0.153355415263025,2.2470308788598574
3.0900058389170035,Bagerhat,Rabi,Boro,November,Dec To March,April,1.5489843269976569,-0.934597531629566,-0.2986720854034304,0.2469147927588328,-0.5183524096172182,2.3267711942265965,-1.9959662480396063,-1.0860293271474049,0.4967049087639,-1.226137378085482,-1.2543124475919334,-1.707466453994524,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,0.5344603441920722,1.0399870395137247,1.2346207131875655,0.9616994123403886,Optimal,-1.048795610244615,-0.6532453335566707,-0.7758144248917377,-1.0748250850846464,-0.6619825439930697,-0.9293618525726388,Low Risk,-0.153355415263025,1.847881242307772
-0.1876327864536639,Bagerhat,Rabi,Sweet Potato,November,Dec To March,April,-1.16492520519135,-0.0099371117407865,0.6911367293943274,0.8319267039227246,-0.5183524096172182,2.3267711942265965,-1.9959662480396063,-1.0860293271474049,0.4967049087639,-1.226137378085482,-1.2543124475919334,-1.707466453994524,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,0.5344603441920722,1.0399870395137247,1.2346207131875655,0.9616994123403886,Optimal,-1.048795610244615,-0.6532453335566707,-0.7758144248917377,-1.0748250850846464,-0.6619825439930697,-0.9293618525726388,Low Risk,-0.153355415263025,3.508771929824561
-0.1931554214879873,Bagerhat,Kharif 1,Mango,April,April To May,April To June,0.8705069439504051,1.8393837280367724,-1.288480900201188,0.8319267039227246,-0.5729802394836117,0.9765855912740056,0.4313208530884793,-0.6455324959716009,-1.4886221468068686,-1.3775333807564478,-0.9648462710920293,0.4988163488205434,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,0.2882880693830244,0.5510220687268412,0.6460797108310234,0.6017446449516441,Optimal,-0.3299955879675464,1.8447035988978144,0.7681447127277451,-0.1962245517860118,-0.6619825439930697,-0.3923548694263201,High Risk,-0.153355415263025,4.994778067885117
-0.1996739415285002,Bagerhat,Kharif 1,Jack Fruit,April,April To May,April To June,2.7363197473303478,0.914723308147993,0.6911367293943274,1.4169386150866163,-0.5729802394836117,0.9765855912740056,0.4313208530884793,-0.6455324959716009,-1.4886221468068686,-1.3775333807564478,-0.9648462710920293,0.4988163488205434,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,0.2882880693830244,0.5510220687268412,0.6460797108310234,0.6017446449516441,Optimal,-0.3299955879675464,1.8447035988978144,0.7681447127277451,-0.1962245517860118,-0.6619825439930697,-0.3923548694263201,High Risk,-0.153355415263025,26.71578947368421
-0.1997871102792036,Bagerhat,Kharif 1,Ripe Papaya,April,April To May,April To May,0.7008875981885921,1.4695195600812607,0.6911367293943274,0.8319267039227246,-0.5729802394836117,0.9765855912740056,0.4313208530884793,-0.6455324959716009,-1.4886221468068686,-1.3775333807564478,-0.9648462710920293,0.4988163488205434,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,-0.4650584101530973,0.1101327905113305,0.9579360985338922,1.2238809989678303,Optimal,-0.3299955879675464,1.8447035988978144,0.7681447127277451,-0.1962245517860118,-0.6619825439930697,-0.3923548694263201,High Risk,-0.153355415263025,11.4
0.1230833354774503,Bagerhat,Kharif 1,Aus,March,April To July,Aug,1.5489843269976569,-0.934597531629566,-0.2986720854034304,0.2469147927588328,-0.5729802394836117,0.9765855912740056,0.4313208530884793,-0.6455324959716009,-1.4886221468068686,-1.3775333807564478,-0.9648462710920293,0.4988163488205434,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,0.8859231702748692,1.047022506719291,0.6929754082299511,0.4778155814389117,Optimal,-0.3299955879675464,1.8447035988978144,0.7681447127277451,-0.1962245517860118,-0.6619825439930697,-0.3923548694263201,High Risk,-0.153355415263025,1.118843608498781
-0.1819064476680744,Bagerhat,Rabi,Karala,February,March To July,Aug To Sep,-0.6560671679059114,1.2845874761035048,2.175849951590964,0.8319267039227246,-0.5183524096172182,2.3267711942265965,-1.9959662480396063,-1.0860293271474049,0.4967049087639,-1.226137378085482,-1.2543124475919334,-1.707466453994524,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,1.1676866173454663,1.2580865228862914,0.6718723444004338,0.345167890342367,Optimal,-1.048795610244615,-0.6532453335566707,-0.7758144248917377,-1.0748250850846464,-0.6619825439930697,-0.9293618525726388,Low Risk,-0.153355415263025,1.3863636363636365
-0.1825401926720132,Bagerhat,Kharif 2,Sugarcane,October,Nov To Aug,Aug To Sep,1.209745635474031,0.5448591401924812,-1.7833853076000672,0.2469147927588328,-0.0192706775727026,2.3267711942265965,-0.3753422507745281,1.0669488360290085,0.8756635043026748,-0.1296175278918009,-0.6809364339801209,-1.9994076742255185,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,1.456864891970553,1.479703739861641,0.6554588503108089,0.1614539519692186,Optimal,0.9814887747702328,-0.6532453335566707,0.1407208658380329,0.728315878678564,-0.6619825439930697,0.9870526333686586,Low Risk,-0.153355415263025,10.719483568075118
-0.1999455465301882,Bagerhat,Kharif 1,Green Papaya,June,June To August,August To September,-0.1472091306204725,0.5448591401924812,-0.2986720854034304,-0.3380971184050589,-0.5729802394836117,0.9765855912740056,0.4313208530884793,-0.6455324959716009,-1.4886221468068686,-1.3775333807564478,-0.9648462710920293,0.4988163488205434,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,2.6506521282433435,2.123448989170991,0.0528491387345884,-0.697330865036106,Optimal,-0.3299955879675464,1.8447035988978144,0.7681447127277451,-0.1962245517860118,-0.6619825439930697,-0.3923548694263201,High Risk,-0.153355415263025,17.27710843373494
-0.198044311518372,Bagerhat,Kharif 1,Amra,June,June To August,August To September,-0.1472091306204725,0.5448591401924812,-0.2986720854034304,-0.3380971184050589,-0.5729802394836117,0.9765855912740056,0.4313208530884793,-0.6455324959716009,-1.4886221468068686,-1.3775333807564478,-0.9648462710920293,0.4988163488205434,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,2.6506521282433435,2.123448989170991,0.0528491387345884,-0.697330865036106,Optimal,-0.3299955879675464,1.8447035988978144,0.7681447127277451,-0.1962245517860118,-0.6619825439930697,-0.3923548694263201,High Risk,-0.153355415263025,6.700598802395209
-0.1907336102229357,Bagerhat,Kharif 1,Wood Apple,May,June To August,August To September,-0.1472091306204725,0.5448591401924812,-0.2986720854034304,-0.3380971184050589,-0.5729802394836117,0.9765855912740056,0.4313208530884793,-0.6455324959716009,-1.4886221468068686,-1.3775333807564478,-0.9648462710920293,0.4988163488205434,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,2.177586130266921,1.7552595387463357,0.069262632824213,-0.6194859758949419,Optimal,-0.3299955879675464,1.8447035988978144,0.7681447127277451,-0.1962245517860118,-0.6619825439930697,-0.3923548694263201,High Risk,-0.153355415263025,1.0
-0.1790319614002094,Bagerhat,Kharif 1,Green Coconut,May,June To August,August To September,-0.1472091306204725,0.5448591401924812,-0.2986720854034304,-0.3380971184050589,-0.5729802394836117,0.9765855912740056,0.4313208530884793,-0.6455324959716009,-1.4886221468068686,-1.3775333807564478,-0.9648462710920293,0.4988163488205434,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,2.177586130266921,1.7552595387463357,0.069262632824213,-0.6194859758949419,Optimal,-0.3299955879675464,1.8447035988978144,0.7681447127277451,-0.1962245517860118,-0.6619825439930697,-0.3923548694263201,High Risk,-0.153355415263025,28.860973187686195
-0.2010319665369404,Bagerhat,Kharif 2,Oal Kachu,September,Oct To Dec,Dec To Feb,0.1920295609031533,-0.3798012796962983,-1.0905191372416367,-1.5081209407328424,-0.0192706775727026,2.3267711942265965,-0.3753422507745281,1.0669488360290085,0.8756635043026748,-0.1296175278918009,-0.6809364339801209,-1.9994076742255185,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,2.026323648155337,1.9123849730039908,0.6179422923916666,-0.154907677500473,Optimal,0.9814887747702328,-0.6532453335566707,0.1407208658380329,0.728315878678564,-0.6619825439930697,0.9870526333686586,Low Risk,-0.153355415263025,1.9428571428571428
-0.1914805239775777,Bagerhat,Kharif 2,Barbati,September,Oct To Dec,December To April,-0.1472091306204725,0.5448591401924812,-0.2986720854034304,0.2469147927588328,-0.0192706775727026,2.3267711942265965,-0.3753422507745281,1.0669488360290085,0.8756635043026748,-0.1296175278918009,-0.6809364339801209,-1.9994076742255185,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,1.2714942031083178,1.4703231169208857,0.9297986800945356,0.5220314784710923,Optimal,0.9814887747702328,-0.6532453335566707,0.1407208658380329,0.728315878678564,-0.6619825439930697,0.9870526333686586,Low Risk,-0.153355415263025,1.1925601750547046
-0.1914352564772964,Bagerhat,Kharif 2,Puishak,August,Sep To Jan,Feb,-0.1472091306204725,-0.934597531629566,0.1962323219954484,-0.9231090295689508,-0.0192706775727026,2.3267711942265965,-0.3753422507745281,1.0669488360290085,0.8756635043026748,-0.1296175278918009,-0.6809364339801209,-1.9994076742255185,-0.414794973920004,2.5034356589526614,2.342787969393875,-1.3967802406880074,-0.8141611701135472,1.8572962030040687,-2.107608136176323,-1.1166213817100594,Optimal,Loamy,2.171654268223329,1.9874299565300355,0.5405643916834361,-0.2364891213204125,Optimal,0.9814887747702328,-0.6532453335566707,0.1407208658380329,0.728315878678564,-0.6619825439930697,0.9870526333686586,Low Risk,-0.153355415263025,2.851851851851852
