District,Season,Crop Name,Transplant,Growth,Harvest,EVI,Soil_Moisture_mm,NDVI_Season_Min,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,Water_Availability_Cat,Wind_Mean,Wind_Max,Extreme_Heat_Risk,LST_C,is_extreme_Wind_Max,Yield,Combined_Area_Production,Combined_Temp_Min_Max_Avg,Combined_Humidity_Avg_MaxRelative_MinRelative,Combined_NDVI_Seaso_LAI_NDVI_Seaso_FPAR,Combined_NDVI_Season_Range_Std,Combined_sm_rootzone_surface,Combined_Moisture_R_Rootzone_S,Combined_Rain_Temp__Rainfall,Combined_Heat_StressDays_isextremeStressDays_IsExtreme
Bagerhat,Rabi,Wheat,December,Jan To March,April,0.391145255684023,0.209503867897117,0.791334379790325,0.073983025583401,0.143601240036679,0.314814814814816,1.000000000000000,1.000000000000000,0.166979461822064,0.224365820561790,0.879163108454313,0.083333333333332,0.193442622950820,Optimal,Loamy,Optimal,0.336416868005897,0.377656945130994,Low Risk,0.021335951286758,0.000000000000000,0.772200772200772,0.000286720849825,0.301753952569170,0.092171717171717,0.807708491028537,0.175683121283582,0.328409038899090,0.346227480375111,0.057876697445919,0.000000000000000
Bagerhat,Rabi,Maize 2,December,Jan To March,April,0.391145255684023,0.209503867897117,0.791334379790325,0.073983025583401,0.143601240036679,0.314814814814816,1.000000000000000,1.000000000000000,0.166979461822064,0.224365820561790,0.879163108454313,0.083333333333332,0.193442622950820,Optimal,Loamy,Optimal,0.336416868005897,0.377656945130994,Low Risk,0.021335951286758,0.000000000000000,2.247030878859857,0.000755012797205,0.391798418972332,0.180194805194805,0.807708491028537,0.175683121283582,0.328409038899090,0.346227480375111,0.057876697445919,0.000000000000000
Bagerhat,Rabi,Boro,November,Dec To March,April,0.391145255684023,0.209503867897117,0.791334379790325,0.073983025583401,0.143601240036679,0.314814814814816,1.000000000000000,1.000000000000000,0.166979461822064,0.224365820561790,0.879163108454313,0.083333333333332,0.193442622950820,Optimal,Loamy,Optimal,0.336416868005897,0.377656945130994,Low Risk,0.021335951286758,0.000000000000000,1.847881242307772,0.234301974656938,0.576622200263505,0.507395382395382,0.807708491028537,0.175683121283582,0.370841297204683,0.324979786769502,0.057876697445919,0.000000000000000
Bagerhat,Rabi,Sweet Potato,November,Dec To March,April,0.391145255684023,0.209503867897117,0.791334379790325,0.073983025583401,0.143601240036679,0.314814814814816,1.000000000000000,1.000000000000000,0.166979461822064,0.224365820561790,0.879163108454313,0.083333333333332,0.193442622950820,Optimal,Loamy,Optimal,0.336416868005897,0.377656945130994,Low Risk,0.021335951286758,0.000000000000000,3.508771929824561,0.001492238137944,0.406002964426877,0.698953823953824,0.807708491028537,0.175683121283582,0.370841297204683,0.324979786769502,0.057876697445919,0.000000000000000
Bagerhat,Kharif 1,Mango,April,April To May,April To June,0.380316489527487,0.369506438836165,0.364915477933282,0.116342599521767,0.568187639406288,0.314814814814816,1.000000000000000,1.000000000000000,0.166979461822064,0.224365820561790,0.879163108454313,0.083333333333332,0.193442622950820,Optimal,Loamy,Optimal,0.587128090719561,0.528917449332674,High Risk,0.608659990537233,0.000000000000000,4.994778067885117,0.001175218612790,0.841938405797101,0.451479076479076,0.411813407875612,0.139646677598735,0.321789919562201,0.274055960157179,0.176380303965977,1.000000000000000
Bagerhat,Kharif 1,Jack Fruit,April,April To May,April To June,0.380316489527487,0.369506438836165,0.364915477933282,0.116342599521767,0.568187639406288,0.314814814814816,1.000000000000000,1.000000000000000,0.166979461822064,0.224365820561790,0.879163108454313,0.083333333333332,0.193442622950820,Optimal,Loamy,Optimal,0.587128090719561,0.528917449332674,High Risk,0.608659990537233,0.000000000000000,26.715789473684207,0.001248356835443,0.924242424242424,0.766774891774892,0.411813407875612,0.139646677598735,0.321789919562201,0.274055960157179,0.176380303965977,1.000000000000000
Bagerhat,Kharif 1,Ripe Papaya,April,April To May,April To May,0.380316489527487,0.369506438836165,0.364915477933282,0.116342599521767,0.568187639406288,0.314814814814816,1.000000000000000,1.000000000000000,0.166979461822064,0.224365820561790,0.879163108454313,0.083333333333332,0.193442622950820,Optimal,Loamy,Optimal,0.587128090719561,0.528917449332674,High Risk,0.608659990537233,0.000000000000000,11.400000000000000,0.000542797439897,0.779479578392622,0.698953823953824,0.411813407875612,0.139646677598735,0.240613376473718,0.324251171888809,0.176380303965977,1.000000000000000
Bagerhat,Kharif 1,Aus,March,April To July,Aug,0.380316489527487,0.369506438836165,0.364915477933282,0.116342599521767,0.568187639406288,0.314814814814816,1.000000000000000,1.000000000000000,0.166979461822064,0.224365820561790,0.879163108454313,0.083333333333332,0.193442622950820,Optimal,Loamy,Optimal,0.587128090719561,0.528917449332674,High Risk,0.608659990537233,0.000000000000000,1.118843608498781,0.018267310948458,0.576622200263505,0.507395382395382,0.411813407875612,0.139646677598735,0.395738814100366,0.269902411321876,0.176380303965977,1.000000000000000
Bagerhat,Rabi,Karala,February,March To July,Aug To Sep,0.391145255684023,0.209503867897117,0.791334379790325,0.073983025583401,0.143601240036679,0.314814814814816,1.000000000000000,1.000000000000000,0.166979461822064,0.224365820561790,0.879163108454313,0.083333333333332,0.193442622950820,Optimal,Loamy,Optimal,0.336416868005897,0.377656945130994,Low Risk,0.021335951286758,0.000000000000000,1.386363636363636,0.001227961106313,0.615777338603426,0.884559884559884,0.807708491028537,0.175683121283582,0.429115135571831,0.261633792173918,0.057876697445919,0.000000000000000
Bagerhat,Kharif 2,Sugarcane,October,Nov To Aug,Aug To Sep,0.490077235638692,0.991534558933740,0.641307825422997,0.157889076151223,0.087418836145713,0.314814814814816,1.000000000000000,1.000000000000000,0.166979461822064,0.224365820561790,0.879163108454313,0.083333333333332,0.193442622950820,Optimal,Loamy,Optimal,0.485245731283570,0.688086999505685,Low Risk,0.413473919530238,0.000000000000000,10.719483568075118,0.004879676878941,0.720479249011858,0.321789321789322,0.798021131627294,0.417919530431853,0.463696259918271,0.250868997877051,0.429320912387876,0.000000000000000
