District,month,year,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat
Chandpur,2,2022,0.1925171982078832,0.2397314973631683,0.0472,1.2388,Moderate
Chattogram,2,2022,0.1295414161194842,0.1995752658653648,0.07,1.5288,Moderate
Cumilla,2,2022,0.2095384421614231,0.253951999269564,0.0444,1.2062,Optimal
CoxsBazar,2,2022,0.1150180928462223,0.1841813165382374,0.0692,1.5875,Moderate
Feni,2,2022,0.1597286980308069,0.2207398419402001,0.061,1.3734,Moderate
Khagrachari,2,2022,0.2071010415570452,0.2599391986835258,0.0528,1.2491,Optimal
Lakshmipur,2,2022,0.1818596421525337,0.2242841812830621,0.0424,1.2265,Moderate
Noakhali,2,2022,0.1487325285128977,0.2031357483188607,0.0544,1.3567,Moderate
Rangamati,2,2022,0.1893527317837046,0.2487821706397029,0.0594,1.307,Moderate
Dhaka,2,2022,0.2014474532915351,0.2452819291507736,0.0438,1.2116,Moderate
Faridpur,2,2022,0.2588903496332274,0.3419818440895136,0.0831,1.3159,Optimal
Gazipur,2,2022,0.2362773292480132,0.2711488398637311,0.0349,1.1428,Optimal
Gopalganj,2,2022,0.4166733488032749,0.7419163457681421,0.3252,1.7763,Optimal
Jamalpur,2,2022,0.1848978209369654,0.1965373041289763,0.0116,1.0572,Moderate
Kishoreganj,2,2022,0.1725416941275639,0.2198441680191463,0.0473,1.2668,Moderate
Madaripur,2,2022,0.2469871001374541,0.3242595740791524,0.0773,1.3076,Optimal
Manikganj,2,2022,0.1695029201529781,0.204127449676487,0.0346,1.1972,Moderate
Munshiganj,2,2022,0.1764650080828518,0.2165091605335337,0.04,1.22,Moderate
Mymensingh,2,2022,0.1959802244149514,0.2197080477414131,0.0237,1.1154,Moderate
Narayanganj,2,2022,0.2170003283713418,0.256659194178461,0.0397,1.1773,Optimal
Narsingdi,2,2022,0.2079842011270014,0.2506089207087237,0.0426,1.1992,Optimal
Netrokona,2,2022,0.2003906028745469,0.2245061423845961,0.0241,1.1148,Moderate
Rajbari,2,2022,0.182273298857699,0.2262092709665544,0.0439,1.2343,Moderate
Shariatpur,2,2022,0.2162733942166438,0.2722379293591304,0.056,1.253,Optimal
Sherpur,2,2022,0.1855707091468878,0.1996753030462383,0.0141,1.0702,Moderate
Tangail,2,2022,0.1955908484829467,0.2194044294263251,0.0238,1.116,Moderate
Bagerhat,2,2022,0.2864733295337842,0.3817984646653977,0.0953,1.3281,Optimal
Chuadanga,2,2022,0.2227671201252532,0.2508735075857239,0.0281,1.1211,Optimal
Jashore,2,2022,0.2499941507052577,0.3200622548778371,0.0701,1.2752,Optimal
Jhenaidah,2,2022,0.2419243689273952,0.2632182409754334,0.0213,1.0835,Optimal
Khulna,2,2022,0.2993240121837932,0.4187601388644903,0.1194,1.3944,Optimal
Kushtia,2,2022,0.172553482545578,0.2113469993956591,0.0388,1.2178,Moderate
Magura,2,2022,0.2535163496544565,0.2767719485439737,0.0233,1.0874,Optimal
Meherpur,2,2022,0.2088063560474303,0.2427353878655741,0.0339,1.1569,Moderate
Narail,2,2022,0.3389134269773353,0.5508441106309506,0.2119,1.6205,Optimal
Satkhira,2,2022,0.2825002675874967,0.3440772524945771,0.0616,1.2137,Optimal
Habiganj,2,2022,0.1874131558023998,0.2238308523104567,0.0364,1.188,Moderate
Moulvibazar,2,2022,0.1873049323301981,0.242793046566014,0.0555,1.2894,Moderate
Sunamganj,2,2022,0.2225266643252714,0.2513115351126283,0.0288,1.1243,Optimal
Sylhet,2,2022,0.2571680005167829,0.2930748113975166,0.0359,1.1352,Optimal
Bogura,2,2022,0.1829954978386899,0.2054833843351269,0.0225,1.1168,Moderate
Joypurhat,2,2022,0.1806165544279329,0.2009720980204068,0.0204,1.1066,Moderate
Naogaon,2,2022,0.2007497461628233,0.2174408261370718,0.0167,1.0778,Moderate
Natore,2,2022,0.1952429251176108,0.2155610679785231,0.0203,1.0984,Moderate
Chapai Nawabganj,2,2022,0.1907819628449283,0.2072517743047387,0.0165,1.0807,Moderate
Pabna,2,2022,0.2057535954335116,0.2389476862607373,0.0332,1.1557,Moderate
Rajshahi,2,2022,0.2066532359826287,0.23230209531929,0.0256,1.1187,Moderate
Sirajganj,2,2022,0.1759987503777897,0.2022281579885063,0.0262,1.1425,Moderate
Dinajpur,2,2022,0.2098418633279849,0.2188866911289681,0.009,1.0382,Moderate
Gaibandha,2,2022,0.2045938332645504,0.2255091748081638,0.0209,1.0969,Moderate
Kurigram,2,2022,0.2187223547517069,0.252286938232703,0.0336,1.1482,Optimal
Lalmonirhat,2,2022,0.2026650411601573,0.197595426238415,-0.0051,0.9702,Moderate
Nilphamari,2,2022,0.1990399352000462,0.1865425599561193,-0.0125,0.9325,Moderate
Panchagar,2,2022,0.2248401323758819,0.2421503149699035,0.0173,1.0722,Moderate
Rangpur,2,2022,0.2163987633924267,0.2075526568608841,-0.0088,0.9547,Moderate
Thakurgaon,2,2022,0.2072094058020596,0.2294508245941701,0.0222,1.102,Moderate
Barguna,2,2022,0.2848434771139136,0.3506877534979818,0.0658,1.2269,Optimal
Barishal,3,2022,0.1250910675594499,0.2244238610243165,0.0993,1.7799,Moderate
Bhola,3,2022,0.0974268821524015,0.1811183871191263,0.0837,1.8401,Moderate
Jhallokati,3,2022,0.0933433838881929,0.1942317952414002,0.1009,2.0588,Moderate
Patuakhali,3,2022,0.1528859426224359,0.2447910837457909,0.0919,1.5907,Moderate
Pirojpur,3,2022,0.1238060827644271,0.2185649235036784,0.0948,1.7512,Moderate
Bandarban,3,2022,0.1127013875051799,0.19892357223853,0.0862,1.7495,Moderate
Brahmanbaria,3,2022,0.1068126167099517,0.1930081067359971,0.0862,1.7902,Moderate
Chandpur,3,2022,0.1052136798902433,0.189569898519893,0.0844,1.7848,Moderate
Chattogram,3,2022,0.0859723605120858,0.1673490419098572,0.0814,1.9242,Moderate
Cumilla,3,2022,0.1301051688763063,0.2031143095276265,0.073,1.5492,Moderate
CoxsBazar,3,2022,0.0818028369862021,0.1595421434851585,0.0777,1.9268,Moderate
Feni,3,2022,0.0962971422773381,0.1762878225211691,0.08,1.8118,Moderate
Khagrachari,3,2022,0.1499844712424534,0.2230057974314653,0.073,1.477,Moderate
Lakshmipur,3,2022,0.1032899757939956,0.1723229217315202,0.069,1.6523,Moderate
Noakhali,3,2022,0.0853428769651573,0.1578100473365631,0.0725,1.8277,Moderate
Rangamati,3,2022,0.1349867489521169,0.2127974953301924,0.0778,1.5648,Moderate
Dhaka,3,2022,0.1274650135675045,0.2094951669947039,0.082,1.6308,Moderate
Faridpur,3,2022,0.1547189943459044,0.2909982276353075,0.1363,1.8687,Optimal
Gazipur,3,2022,0.150708571134786,0.2333944351860567,0.0827,1.5384,Moderate
Gopalganj,3,2022,0.267613466033476,0.6457431589046595,0.3781,2.404,Optimal
Jamalpur,3,2022,0.0953720220785692,0.1722864128870477,0.0769,1.7877,Moderate
Kishoreganj,3,2022,0.0848330355833166,0.1773879821351891,0.0926,2.0667,Moderate
Madaripur,3,2022,0.140101625347002,0.267371940612793,0.1273,1.8949,Optimal
Manikganj,3,2022,0.1018147711775132,0.1784903442683797,0.0767,1.736,Moderate
Munshiganj,3,2022,0.0963482291217897,0.1723397576598206,0.076,1.7703,Moderate
Mymensingh,3,2022,0.1058211896893487,0.1869668845673975,0.0811,1.7503,Moderate
Narayanganj,3,2022,0.1251647368559927,0.2096129679819835,0.0844,1.6614,Moderate
Narsingdi,3,2022,0.1149038488460099,0.2022540687344258,0.0874,1.745,Moderate
Netrokona,3,2022,0.0982852163960796,0.1868994704900321,0.0886,1.8825,Moderate
Rajbari,3,2022,0.1124722873562662,0.1942682057991765,0.0818,1.712,Moderate
Shariatpur,3,2022,0.1217921777728957,0.2196131939775851,0.0978,1.7885,Moderate
Sherpur,3,2022,0.0953361959102612,0.1738231968340317,0.0785,1.8043,Moderate
Tangail,3,2022,0.1203044837886528,0.1966610069722548,0.0764,1.6212,Moderate
Bagerhat,3,2022,0.2056678105809818,0.3273566009366093,0.1217,1.584,Optimal
Chuadanga,3,2022,0.1325499231603251,0.2272029664129041,0.0947,1.7013,Moderate
Jashore,3,2022,0.1598306967472488,0.2858461139907156,0.126,1.7773,Optimal
Jhenaidah,3,2022,0.1503741658267473,0.2367544822305481,0.0864,1.564,Moderate
Khulna,3,2022,0.216832199745052,0.3632217602183422,0.1464,1.6674,Optimal
Kushtia,3,2022,0.1046918917700071,0.1877973173922429,0.0831,1.7768,Moderate
Magura,3,2022,0.156522502059421,0.2447892251087302,0.0883,1.554,Moderate
Meherpur,3,2022,0.1104706860021237,0.2180753143564347,0.1076,1.9563,Moderate
Narail,3,2022,0.2236527568566266,0.4885440612522677,0.2649,2.1747,Optimal
Satkhira,3,2022,0.2126714391270193,0.2975774026066317,0.0849,1.3927,Optimal
Habiganj,3,2022,0.0941166002127027,0.1819452065414535,0.0878,1.9129,Moderate
Moulvibazar,3,2022,0.1084337321927096,0.2028929241408549,0.0945,1.854,Moderate
Sunamganj,3,2022,0.1331015492065572,0.2095743277587553,0.0765,1.5628,Moderate
Sylhet,3,2022,0.1748655940581291,0.2567677918523732,0.0819,1.46,Optimal
Bogura,3,2022,0.1140726335477026,0.1857791465664547,0.0717,1.6145,Moderate
Joypurhat,3,2022,0.134045435317925,0.1856911327026702,0.0516,1.375,Moderate
Naogaon,3,2022,0.1219769185857278,0.194982666903113,0.073,1.5855,Moderate
Natore,3,2022,0.1187679452929396,0.1948882777573941,0.0761,1.6272,Moderate
Chapai Nawabganj,3,2022,0.1079304458997278,0.1797496766337456,0.0718,1.6501,Moderate
Pabna,3,2022,0.1315447702258421,0.2196834612478304,0.0881,1.6574,Moderate
Rajshahi,3,2022,0.1286564629692979,0.2090115516336446,0.0804,1.612,Moderate
Sirajganj,3,2022,0.1102250669892752,0.187521190352218,0.0773,1.686,Moderate
Dinajpur,3,2022,0.13276362306686,0.1886511433108281,0.0559,1.4103,Moderate
Gaibandha,3,2022,0.1163413503848058,0.2008352054611899,0.0845,1.7115,Moderate
Kurigram,3,2022,0.1334850002715324,0.2214623800612736,0.088,1.6467,Moderate
Lalmonirhat,3,2022,0.1266082218931729,0.1614147027094531,0.0348,1.2649,Moderate
Nilphamari,3,2022,0.1330156643890401,0.154012350218672,0.021,1.1492,Moderate
Panchagar,3,2022,0.1507079354431531,0.2046919438038611,0.054,1.3493,Moderate
Rangpur,3,2022,0.1252047769557801,0.1769908733317169,0.0518,1.4024,Moderate
Thakurgaon,3,2022,0.1306522753070254,0.1938788450086133,0.0632,1.4727,Moderate
Barguna,3,2022,0.2112679577678598,0.2982734698293451,0.087,1.4052,Optimal
Barishal,4,2022,0.126077623158005,0.1979820629768233,0.0719,1.558,Moderate
Bhola,4,2022,0.0916084725253682,0.1541335296963794,0.0625,1.6644,Moderate
Jhallokati,4,2022,0.0840999754705193,0.1630409393630685,0.0789,1.9159,Moderate
Patuakhali,4,2022,0.1402856658521071,0.2135593366315356,0.0733,1.5115,Moderate
Pirojpur,4,2022,0.111308499674347,0.1900427191932527,0.0787,1.6921,Moderate
Bandarban,4,2022,0.125772102984531,0.1844145688813316,0.0586,1.4547,Moderate
Brahmanbaria,4,2022,0.1401292690522851,0.1890414950468593,0.0489,1.3395,Moderate
Chandpur,4,2022,0.106727753315425,0.1709941952736401,0.0643,1.5873,Moderate
Chattogram,4,2022,0.1201025704115431,0.1684053795882259,0.0483,1.3906,Moderate
Cumilla,4,2022,0.1207862106874072,0.1828186306461605,0.062,1.5011,Moderate
CoxsBazar,4,2022,0.1021471882841604,0.1533545212132886,0.0512,1.4868,Moderate
Feni,4,2022,0.1050540873067846,0.1659082480946704,0.0609,1.5644,Moderate
Khagrachari,4,2022,0.1734733552526717,0.2167738331590042,0.0433,1.2424,Moderate
Lakshmipur,4,2022,0.0929401409124954,0.146437700798495,0.0535,1.5588,High Stress
Noakhali,4,2022,0.0966175287033175,0.1466981627151313,0.0501,1.5028,High Stress
Rangamati,4,2022,0.1561181455246284,0.2068130896438238,0.0507,1.3163,Moderate
Dhaka,4,2022,0.1421308740775494,0.2038531286379634,0.0617,1.4242,Moderate
Faridpur,4,2022,0.137588731355061,0.2547219457384059,0.1171,1.838,Optimal
Gazipur,4,2022,0.1824539040135251,0.2392598796447001,0.0568,1.3042,Moderate
Gopalganj,4,2022,0.1929232810802895,0.5688333239213546,0.3759,2.9333,Optimal
Jamalpur,4,2022,0.1534697393501517,0.1739743023562361,0.0205,1.1263,Moderate
Kishoreganj,4,2022,0.1520641581726949,0.1890652395545241,0.037,1.2352,Moderate
Madaripur,4,2022,0.1358605749368893,0.2369392074870341,0.1011,1.7312,Moderate
Manikganj,4,2022,0.1090195312934077,0.168616202121936,0.0596,1.5326,Moderate
Munshiganj,4,2022,0.1178534664863616,0.1634963615168881,0.0456,1.3756,Moderate
Mymensingh,4,2022,0.1751151264846543,0.2023566247786488,0.0272,1.149,Moderate
Narayanganj,4,2022,0.146865004829354,0.2014972061806391,0.0546,1.3627,Moderate
Narsingdi,4,2022,0.1521612956551279,0.2026943792487215,0.0505,1.3234,Moderate
Netrokona,4,2022,0.2109271333862956,0.2116579205104654,0.0007,0.9987,Moderate
Rajbari,4,2022,0.0985397528737004,0.1628964158137127,0.0644,1.6365,Moderate
Shariatpur,4,2022,0.1303274872151401,0.1996512487167265,0.0693,1.5203,Moderate
Sherpur,4,2022,0.1889456929100451,0.1938239548699757,0.0049,1.0204,Moderate
Tangail,4,2022,0.1439413836848021,0.1934754343905684,0.0495,1.3349,Moderate
Bagerhat,4,2022,0.1755764709589199,0.2911837804945894,0.1156,1.6491,Optimal
Chuadanga,4,2022,0.1089257433545203,0.1987991212144114,0.0899,1.8085,Moderate
Jashore,4,2022,0.1200441977428009,0.2519323117973781,0.1319,2.0813,Optimal
Jhenaidah,4,2022,0.1195924292698747,0.2039262065552225,0.0843,1.691,Moderate
Khulna,4,2022,0.1735354502498908,0.3220048553780877,0.1485,1.8449,Optimal
Kushtia,4,2022,0.0866412944454541,0.1575254305620022,0.0709,1.7974,Moderate
Magura,4,2022,0.1244896556487632,0.2104743193918353,0.086,1.6772,Moderate
Meherpur,4,2022,0.1009449606412841,0.1957661064209477,0.0948,1.9203,Moderate
Narail,4,2022,0.1865046736728623,0.4357195206187689,0.2492,2.3238,Optimal
Satkhira,4,2022,0.1897808420774908,0.2638032266613987,0.074,1.3828,Optimal
Habiganj,4,2022,0.1498287114970728,0.186235670695133,0.0364,1.2347,Moderate
Moulvibazar,4,2022,0.1736148457185429,0.2107166594882833,0.0371,1.2068,Moderate
Sunamganj,4,2022,0.2415897381731642,0.2304756710736056,-0.0111,0.9501,Moderate
Sylhet,4,2022,0.3001736165009448,0.2946124537276312,-0.0056,0.9782,Optimal
Bogura,4,2022,0.11366018293803,0.1650228727508709,0.0514,1.4392,Moderate
Joypurhat,4,2022,0.1034740803660927,0.1613882720601427,0.0579,1.5448,Moderate
Naogaon,4,2022,0.0925550159048428,0.1658034970701924,0.0732,1.7723,Moderate
Natore,4,2022,0.1041592441441973,0.1728935264266528,0.0687,1.6441,Moderate
Chapai Nawabganj,4,2022,0.0837771706067757,0.1497800866522666,0.066,1.7668,High Stress
Pabna,4,2022,0.1137004826168775,0.1967873245676825,0.0831,1.7157,Moderate
Rajshahi,4,2022,0.1097803719993963,0.1827604491499406,0.073,1.6498,Moderate
Sirajganj,4,2022,0.1163050502821045,0.1711865535052452,0.0549,1.4593,Moderate
Dinajpur,4,2022,0.123211261115983,0.16493715929784,0.0417,1.3279,Moderate
Gaibandha,4,2022,0.163399681931189,0.1929002550599458,0.0295,1.1734,Moderate
Kurigram,4,2022,0.2602123704963914,0.266277168706538,0.0061,1.0194,Optimal
Lalmonirhat,4,2022,0.2106565220038806,0.1778699293317725,-0.0328,0.8404,Moderate
Nilphamari,4,2022,0.1628176496862685,0.1461550691416217,-0.0167,0.8922,High Stress
Panchagar,4,2022,0.1865547054452673,0.1984934931557397,0.0119,1.0583,Moderate
Rangpur,4,2022,0.177715529760135,0.1723287303922055,-0.0054,0.9643,Moderate
Thakurgaon,4,2022,0.1489950027731514,0.1840401593717508,0.035,1.227,Moderate
