Season,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,District,Year
Kharif 1,668.3100000000001,28.977213114754097,42.19,15.6,56,2.5653278688524592,6.27,0.08,Gopalganj,2022
Kharif 2,1238.15,27.71390243902439,33.63,18.56,0,2.1439024390243904,7.37,0.03,Gopalganj,2022
Rabi,149.59,19.406916666666667,30.54,7.96,0,1.3698333333333332,4.8,0.05,Gopalganj,2022
Kharif 1,2073.38,27.73745901639344,37.77,14.75,26,2.1707377049180328,6.14,0.09,Habiganj,2022
Kharif 2,1599.93,27.862357723577237,34.27,17.78,0,1.6316260162601626,5.52,0.05,Habiganj,2022
Rabi,82.88,19.647166666666667,30.51,8.62,0,1.0488333333333333,4.36,0.03,Habiganj,2022
Kharif 1,1278.22,28.156967213114754,38.88,14.97,37,2.2814754098360654,6.66,0.04,Jamalpur,2022
Kharif 2,1091.34,27.750406504065044,34.86,18.48,0,1.9544715447154473,6.82,0.07,Jamalpur,2022
Rabi,82.59,19.200833333333332,29.93,8.25,0,1.225,4.57,0.07,Jamalpur,2022
Kharif 1,485.51,29.431475409836064,43.88,15.04,64,2.5349999999999997,6.63,0.04,Jashore,2022
Kharif 2,1080.92,27.736341463414636,34.2,18.34,0,2.0617073170731706,7.47,0.15,Jashore,2022
Rabi,127.00999999999999,19.337083333333332,30.76,7.52,0,1.347,4.74,0.03,Jashore,2022
Kharif 1,656.33,28.878196721311475,41.26,16.01,54,2.4818852459016396,5.86,0.04,Jhallokati,2022
Kharif 2,1451.65,27.76869918699187,33.57,18.56,0,2.063739837398374,7.47,0.04,Jhallokati,2022
Rabi,220.42999999999998,19.631500000000003,30.58,8.35,0,1.4529166666666666,4.33,0.04,Jhallokati,2022
Kharif 1,558.92,29.277131147540985,43.33,15.19,58,2.47672131147541,6.36,0.08,Jhenaidah,2022
Kharif 2,996.1999999999999,27.804227642276423,34.21,18.74,0,2.1582926829268296,7.83,0.11,Jhenaidah,2022
Rabi,101.19,19.232916666666664,30.32,7.6,0,1.4094166666666665,4.93,0.06,Jhenaidah,2022
Kharif 1,596.69,29.190573770491802,42.27,13.63,68,2.2068032786885245,6.02,0.07,Joypurhat,2022
Kharif 2,783.3,27.9830081300813,35.83,17.28,4,2.051056910569106,7.97,0.07,Joypurhat,2022
Rabi,73.46000000000001,18.282833333333333,30.31,7.21,0,1.37525,6.18,0.09,Joypurhat,2022
Kharif 1,1145.52,26.892377049180325,38.65,12.79,22,0.20704918032786887,0.99,0.01,Khagrachari,2022
Kharif 2,1337.03,27.635365853658538,38.46,18.2,10,0.09715447154471546,0.86,0.0,Khagrachari,2022
Rabi,86.44,19.028833333333335,33.14,7.85,0,0.3234166666666667,1.04,0.0,Khagrachari,2022
Kharif 1,485.51,29.431475409836064,43.88,15.04,64,2.5349999999999997,6.63,0.04,Khulna,2022
Kharif 2,1080.92,27.736341463414636,34.2,18.34,0,2.0617073170731706,7.47,0.15,Khulna,2022
Rabi,127.00999999999999,19.337083333333332,30.76,7.52,0,1.347,4.74,0.03,Khulna,2022
Kharif 1,1512.93,28.173934426229508,39.96,15.25,45,2.217295081967213,6.17,0.05,Kishoreganj,2022
Kharif 2,1317.39,27.771138211382112,34.22,17.91,0,1.7357723577235773,6.32,0.1,Kishoreganj,2022
Rabi,79.21,19.376166666666666,30.48,8.63,0,1.1385833333333333,4.29,0.01,Kishoreganj,2022
Kharif 1,1572.26,27.49467213114754,37.59,13.55,17,2.044918032786885,6.81,0.04,Kurigram,2022
Kharif 2,993.02,27.780162601626017,34.92,17.93,0,1.8404878048780486,5.77,0.08,Kurigram,2022
Rabi,82.39,18.507833333333334,29.15,7.75,0,1.2979166666666666,6.09,0.04,Kurigram,2022
Kharif 1,638.57,29.175901639344264,42.43,15.23,53,2.4836065573770494,6.75,0.12,Kushtia,2022
Kharif 2,984.86,27.91,34.38,19.25,0,2.2982113821138213,8.54,0.08,Kushtia,2022
Rabi,91.4,19.205083333333334,30.12,7.92,0,1.4246666666666667,5.1,0.04,Kushtia,2022
Kharif 1,897.09,28.29688524590164,38.75,16.37,34,2.7896721311475408,6.68,0.12,Lakshmipur,2022
Kharif 2,1311.3799999999999,27.853658536585368,32.95,19.15,0,2.3895121951219513,7.82,0.03,Lakshmipur,2022
Rabi,130.03,19.78575,29.93,9.59,0,1.5768333333333333,4.92,0.03,Lakshmipur,2022
Kharif 1,1572.26,27.49467213114754,37.59,13.55,17,2.044918032786885,6.81,0.04,Lalmonirhat,2022
Kharif 2,993.02,27.780162601626017,34.92,17.93,0,1.8404878048780486,5.77,0.08,Lalmonirhat,2022
Rabi,82.39,18.507833333333334,29.15,7.75,0,1.2979166666666666,6.09,0.04,Lalmonirhat,2022
Kharif 1,668.3100000000001,28.977213114754097,42.19,15.6,56,2.5653278688524592,6.27,0.08,Madaripur,2022
Kharif 2,1238.15,27.71390243902439,33.63,18.56,0,2.1439024390243904,7.37,0.03,Madaripur,2022
Rabi,149.59,19.406916666666667,30.54,7.96,0,1.3698333333333332,4.8,0.05,Madaripur,2022
Kharif 1,558.92,29.277131147540985,43.33,15.19,58,2.47672131147541,6.36,0.08,Magura,2022
Kharif 2,996.1999999999999,27.804227642276423,34.21,18.74,0,2.1582926829268296,7.83,0.11,Magura,2022
Rabi,101.19,19.232916666666664,30.32,7.6,0,1.4094166666666665,4.93,0.06,Magura,2022
Kharif 1,841.36,28.802213114754096,41.68,15.46,49,2.4510655737704914,6.49,0.11,Manikganj,2022
Kharif 2,1117.67,27.834796747967477,33.61,18.75,0,2.1726016260162604,8.25,0.04,Manikganj,2022
Rabi,91.45,19.445333333333334,30.56,8.4,0,1.3493333333333333,4.2,0.07,Manikganj,2022
Kharif 1,424.36,29.869180327868854,43.6,15.07,77,2.4805737704918034,6.96,0.16,Meherpur,2022
Kharif 2,762.83,28.1239837398374,36.28,18.19,9,2.2708130081300815,8.43,0.04,Meherpur,2022
Rabi,80.82000000000001,19.014499999999998,30.41,7.46,0,1.4605833333333333,4.88,0.07,Meherpur,2022
Kharif 1,2078.94,27.40467213114754,36.89,13.58,15,1.5492622950819672,4.69,0.09,Moulvibazar,2022
Kharif 2,1626.4,27.889105691056912,35.28,17.48,2,1.23,5.03,0.02,Moulvibazar,2022
Rabi,83.51,19.111666666666668,30.34,8.06,0,0.9328333333333333,3.7,0.01,Moulvibazar,2022
Kharif 1,896.28,28.457131147540984,40.07,15.89,41,2.7607377049180326,6.78,0.13,Munshiganj,2022
Kharif 2,1147.69,27.867154471544715,33.03,18.76,0,2.1950406504065043,7.91,0.03,Munshiganj,2022
Rabi,96.21,19.6385,30.15,9.31,0,1.3990833333333335,4.12,0.08,Munshiganj,2022
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,1.9249180327868853,6.08,0.13,Mymensingh,2022
Kharif 2,1391.11,27.504552845528455,34.86,18.34,0,1.5408130081300815,5.49,0.03,Mymensingh,2022
Rabi,80.15,19.223333333333336,29.93,7.98,0,1.1035,4.02,0.01,Mymensingh,2022
Kharif 1,596.69,29.190573770491802,42.27,13.63,68,2.2068032786885245,6.02,0.07,Naogaon,2022
Kharif 2,783.3,27.9830081300813,35.83,17.28,4,2.051056910569106,7.97,0.07,Naogaon,2022
Rabi,73.46000000000001,18.282833333333333,30.31,7.21,0,1.37525,6.18,0.09,Naogaon,2022
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,1.9249180327868853,6.08,0.13,Narail,2022
Kharif 2,1391.11,27.504552845528455,34.86,18.34,0,1.5408130081300815,5.49,0.03,Narail,2022
Rabi,80.15,19.223333333333336,29.93,7.98,0,1.1035,4.02,0.01,Narail,2022
Kharif 1,896.28,28.457131147540984,40.07,15.89,41,2.7607377049180326,6.78,0.13,Narayanganj,2022
Kharif 2,1147.69,27.867154471544715,33.03,18.76,0,2.1950406504065043,7.91,0.03,Narayanganj,2022
Rabi,96.21,19.6385,30.15,9.31,0,1.3990833333333335,4.12,0.08,Narayanganj,2022
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,2.5375409836065574,6.3,0.09,Narsingdi,2022
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,1.9920325203252034,7.4,0.04,Narsingdi,2022
Rabi,82.23,19.610583333333334,30.39,8.94,0,1.2454166666666666,3.9,0.06,Narsingdi,2022
Kharif 1,471.39,29.696393442622952,42.83,14.55,72,2.3395081967213116,6.74,0.09,Natore,2022
Kharif 2,772.89,28.147723577235773,36.56,17.79,8,2.2247154471544714,8.45,0.03,Natore,2022
Rabi,75.78,18.654,30.4,7.51,0,1.4068333333333334,5.11,0.13,Natore,2022
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,1.9249180327868853,6.08,0.13,Netrokona,2022
Kharif 2,1391.11,27.504552845528455,34.86,18.34,0,1.5408130081300815,5.49,0.03,Netrokona,2022
Rabi,80.15,19.223333333333336,29.93,7.98,0,1.1035,4.02,0.01,Netrokona,2022
Kharif 1,1334.64,27.742622950819673,38.63,13.13,28,1.8755737704918032,7.13,0.01,Nilphamari,2022
Kharif 2,1114.52,27.576422764227644,34.74,17.2,0,1.7053658536585365,6.02,0.02,Nilphamari,2022
Rabi,73.57000000000001,17.97491666666667,29.3,7.09,0,1.2875,7.48,0.03,Nilphamari,2022
Kharif 1,1243.4,28.06844262295082,32.74,18.65,0,4.176393442622951,8.21,0.16,Noakhali,2022
Kharif 2,1533.16,28.594471544715446,32.77,21.78,0,3.7842276422764227,12.92,0.05,Noakhali,2022
Rabi,112.63,21.486333333333334,29.56,12.97,0,2.6905833333333335,7.12,0.06,Noakhali,2022
Kharif 1,638.57,29.175901639344264,42.43,15.23,53,2.4836065573770494,6.75,0.12,Pabna,2022
Kharif 2,984.86,27.91,34.38,19.25,0,2.2982113821138213,8.54,0.08,Pabna,2022
Rabi,91.4,19.205083333333334,30.12,7.92,0,1.4246666666666667,5.1,0.04,Pabna,2022
Kharif 1,1568.31,27.179262295081966,37.17,14.66,17,1.619344262295082,6.43,0.04,Panchagar,2022
Kharif 2,1342.09,27.189674796747966,33.52,17.55,0,1.518130081300813,4.56,0.03,Panchagar,2022
Rabi,64.71000000000001,18.49683333333333,28.88,8.75,0,1.1396666666666666,6.48,0.01,Panchagar,2022
Kharif 1,1663.21,28.106803278688528,33.74,19.66,0,3.6841803278688525,7.13,0.09,Patuakhali,2022
Kharif 2,2272.77,28.43642276422764,31.57,21.83,0,3.5834959349593496,10.3,0.13,Patuakhali,2022
Rabi,270.62,21.403833333333335,29.2,13.89,0,2.49725,5.94,0.12,Patuakhali,2022
Kharif 1,656.33,28.878196721311475,41.26,16.01,54,2.4818852459016396,5.86,0.04,Pirojpur,2022
Kharif 2,1451.65,27.76869918699187,33.57,18.56,0,2.063739837398374,7.47,0.04,Pirojpur,2022
Rabi,220.42999999999998,19.631500000000003,30.58,8.35,0,1.4529166666666666,4.33,0.04,Pirojpur,2022
Kharif 1,558.92,29.277131147540985,43.33,15.19,58,2.47672131147541,6.36,0.08,Rajbari,2022
Kharif 2,996.1999999999999,27.804227642276423,34.21,18.74,0,2.1582926829268296,7.83,0.11,Rajbari,2022
Rabi,101.19,19.232916666666664,30.32,7.6,0,1.4094166666666665,4.93,0.06,Rajbari,2022
Kharif 1,471.39,29.696393442622952,42.83,14.55,72,2.3395081967213116,6.74,0.09,Rajshahi,2022
Kharif 2,772.89,28.147723577235773,36.56,17.79,8,2.2247154471544714,8.45,0.03,Rajshahi,2022
Rabi,75.78,18.654,30.4,7.51,0,1.4068333333333334,5.11,0.13,Rajshahi,2022
Kharif 1,1205.62,27.631311475409834,36.72,15.16,4,2.856229508196721,6.45,0.12,Rangamati,2022
Kharif 2,1450.75,28.04821138211382,34.55,19.76,0,2.3628455284552845,11.27,0.03,Rangamati,2022
Rabi,98.78,20.408583333333336,31.75,9.62,0,1.6609166666666666,4.45,0.08,Rangamati,2022
Kharif 1,1198.2,28.210163934426227,38.3,13.81,31,2.2934426229508196,5.95,0.08,Rangpur,2022
Kharif 2,910.51,27.91861788617886,34.91,18.29,0,2.0784552845528457,6.67,0.1,Rangpur,2022
Rabi,85.09,18.74625,29.18,7.74,0,1.4260833333333334,7.0,0.06,Rangpur,2022
Kharif 1,441.07,29.42827868852459,42.85,15.91,64,2.1515573770491803,5.36,0.14,Satkhira,2022
Kharif 2,1252.47,27.811544715447155,33.81,18.59,0,1.6846341463414636,6.2,0.06,Satkhira,2022
Rabi,158.44,19.825916666666668,32.43,8.31,0,1.2484166666666667,3.91,0.11,Satkhira,2022
Kharif 1,897.09,28.29688524590164,38.75,16.37,34,2.7896721311475408,6.68,0.12,Shariatpur,2022
Kharif 2,1311.3799999999999,27.853658536585368,32.95,19.15,0,2.3895121951219513,7.82,0.03,Shariatpur,2022
Rabi,130.03,19.78575,29.93,9.59,0,1.5768333333333333,4.92,0.03,Shariatpur,2022
Kharif 1,1278.22,28.156967213114754,38.88,14.97,37,2.2814754098360654,6.66,0.04,Sherpur,2022
Kharif 2,1091.34,27.750406504065044,34.86,18.48,0,1.9544715447154473,6.82,0.07,Sherpur,2022
Rabi,82.59,19.200833333333332,29.93,8.25,0,1.225,4.57,0.07,Sherpur,2022
Kharif 1,1038.79,28.663278688524592,41.07,15.07,48,2.3401639344262297,6.82,0.09,Sirajganj,2022
Kharif 2,1132.42,27.871463414634146,34.22,18.47,0,2.0767479674796747,7.64,0.06,Sirajganj,2022
Rabi,85.72,19.216583333333332,30.4,8.23,0,1.3789166666666666,4.37,0.01,Sirajganj,2022
Kharif 1,3216.48,26.80155737704918,36.2,14.8,5,1.693032786885246,6.12,0.11,Sunamganj,2022
Kharif 2,1911.12,27.572357723577237,34.39,18.74,0,1.5008943089430895,5.89,0.1,Sunamganj,2022
Rabi,91.4,19.216166666666666,30.9,9.17,0,1.1945000000000001,3.59,0.04,Sunamganj,2022
Kharif 1,2078.94,27.40467213114754,36.89,13.58,15,1.5492622950819672,4.69,0.09,Sylhet,2022
Kharif 2,1626.4,27.889105691056912,35.28,17.48,2,1.23,5.03,0.02,Sylhet,2022
Rabi,83.51,19.111666666666668,30.34,8.06,0,0.9328333333333333,3.7,0.01,Sylhet,2022
Kharif 1,1038.79,28.663278688524592,41.07,15.07,48,2.3401639344262297,6.82,0.09,Tangail,2022
Kharif 2,1132.42,27.871463414634146,34.22,18.47,0,2.0767479674796747,7.64,0.06,Tangail,2022
Rabi,85.72,19.216583333333332,30.4,8.23,0,1.3789166666666666,4.37,0.01,Tangail,2022
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,2.5375409836065574,6.3,0.09,Thakurgaon,2022
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,1.9920325203252034,7.4,0.04,Thakurgaon,2022
Rabi,82.23,19.610583333333334,30.39,8.94,0,1.2454166666666666,3.9,0.06,Thakurgaon,2022
