Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Year,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat
41981,1.262070937,Jashore,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,52983,40,12.0,60,85,485.51,29.431475409836064,43.88,15.04,64,2.535,6.63,0.04,2022,28.84,6.59,16.5,High Risk,1
39679,1.070692306,Jhallokati,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,42484,40,12.0,60,85,656.33,28.878196721311475,41.26,16.01,54,2.48188524590164,5.86,0.04,2022,25.25,5.82,22.73,High Risk,1
87423,1.223591046,Jhenaidah,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,106970,40,12.0,60,85,558.92,29.277131147540985,43.33,15.19,58,2.47672131147541,6.36,0.08,2022,28.14,6.28,19.09,High Risk,1
1038,0.9441233141,Joypurhat,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,980,40,12.0,60,85,596.69,29.1905737704918,42.27,13.63,68,2.2068032786885245,6.02,0.07,2022,28.64,5.95,20.44,High Risk,1
11154,1.009144701,Khagrachari,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,11256,40,12.0,60,85,1145.52,26.892377049180325,38.65,12.79,22,0.2070491803278688,0.99,0.01,2022,25.86,0.98,42.59,High Risk,1
9017,0.5480758567,Khulna,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,4942,40,12.0,60,85,485.51,29.431475409836064,43.88,15.04,64,2.535,6.63,0.04,2022,28.84,6.59,16.5,High Risk,1
66014,1.050216621,Kishoreganj,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,69329,40,12.0,60,85,1512.93,28.173934426229508,39.96,15.25,45,2.217295081967213,6.17,0.05,2022,24.71,6.12,53.7,High Risk,1
16357,0.8437977624,Kurigram,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,13802,40,12.0,60,85,1572.26,27.49467213114754,37.59,13.55,17,2.044918032786885,6.81,0.04,2022,24.04,6.77,57.18,High Risk,0
67774,1.167424086,Kushtia,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,79121,40,12.0,60,85,638.57,29.175901639344264,42.43,15.23,53,2.4836065573770494,6.75,0.12,2022,27.2,6.63,21.89,High Risk,1
80238,0.8856152945,Lakshmipur,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,71060,40,12.0,60,85,897.09,28.29688524590164,38.75,16.37,34,2.7896721311475408,6.68,0.12,2022,22.38,6.56,31.7,High Risk,1
27851,1.01267459,Lalmonirhat,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,28204,40,12.0,60,85,1572.26,27.49467213114754,37.59,13.55,17,2.044918032786885,6.81,0.04,2022,24.04,6.77,57.18,High Risk,0
4854,0.6847960445,Madaripur,Kharif 1,26.0,72.5,Aus,March,April to july,Aug,3324,40,12.0,60,85,668.3100000000001,28.977213114754097,42.19,15.6,56,2.5653278688524592,6.27,0.08,2022,26.59,6.19,23.06,High Risk,1
