Year,District,Season,Crops,Soil_Type,Irrigation,Area,Avg_Temperature,Total_Rainfall,Avg_Wind_Speed,NDVI,Yield,Price
2004,Raichur,Kharif,Coconut,Red,Basin,4877,26.892349726775958,606.67,14.763836065573772,0.5092,8700.0,234581
2004,Raichur,Rabi,Coconut,Red,Basin,4930,26.892349726775958,606.67,14.763836065573772,0.5092,41266.0,646
2004,Raichur,Rabi,Coconut,Red,Basin,4954,26.892349726775958,606.67,14.763836065573772,0.5092,8838.0,43562
2004,Raichur,Rabi,Coconut,Red,Basin,5019,26.892349726775958,606.67,14.763836065573772,0.5092,8954.0,200000
2004,Raichur,Rabi,Coconut,Red,Basin,5127,26.892349726775958,606.67,14.763836065573772,0.5092,42915.0,4847
2004,Raichur,Rabi,Coconut,Red,Basin,5174,26.892349726775958,606.67,14.763836065573772,0.5092,9230.0,51239
2004,Raichur,Rabi,Coconut,Red,Basin,5294,26.892349726775958,606.67,14.763836065573772,0.5092,44313.0,216396
2004,Raichur,Rabi,Coconut,Red,Basin,5474,26.892349726775958,606.67,14.763836065573772,0.5092,45820.0,2644
2004,Raichur,Rabi,Coconut,Red,Basin,5864,26.892349726775958,606.67,14.763836065573772,0.5092,49084.0,44235
2004,Raichur,Rabi,Coconut,Red,Basin,7028,26.892349726775958,606.67,14.763836065573772,0.5092,86311.0,203317
2004,Raichur,Rabi,Coconut,Red,Basin,7403,26.892349726775958,606.67,14.763836065573772,0.5092,57642.0,2134
2004,Raichur,Rabi,Coconut,Red,Basin,7501,26.892349726775958,606.67,14.763836065573772,0.5092,58405.0,45186
2004,Raichur,Rabi,Coconut,Red,Basin,7714,26.892349726775958,606.67,14.763836065573772,0.5092,60751.0,238542
2004,Raichur,Rabi,Coconut,Red,Basin,7856,26.892349726775958,606.67,14.763836065573772,0.5092,109506.0,1516
2004,Raichur,Rabi,Coconut,Red,Basin,32,26.892349726775958,606.67,14.763836065573772,0.5092,114.0,57259
2004,Raichur,Rabi,Coconut,Red,Basin,1,26.892349726775958,606.67,14.763836065573772,0.5092,3.0,234779
2004,Raichur,Rabi,Coconut,Red,Basin,30,26.892349726775958,606.67,14.763836065573772,0.5092,95.0,1493
2004,Gulbarga,Rabi,Coconut,Red,Basin,6,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,19.0,64409
2004,Gulbarga,Rabi,Coconut,Red,Basin,15,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,54.0,249978
2004,Gulbarga,Rabi,Coconut,Red,Basin,4,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,13.0,200000
2004,Gulbarga,Rabi,Coconut,Red,Basin,39,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,123.0,4847
2004,Gulbarga,Rabi,Coconut,Red,Basin,6,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,19.0,51239
2004,Gulbarga,Rabi,Coconut,Red,Basin,12,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,32.0,216396
2004,Gulbarga,Rabi,Coconut,Red,Basin,3,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,8.0,2644
2004,Gulbarga,Rabi,Coconut,Black,Basin,17,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,50.0,44235
2004,Gulbarga,Rabi,Coconut,Black,Basin,3,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,10.0,203317
2004,Gulbarga,Rabi,Coconut,Black,Basin,9,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,29.0,2134
2004,Gulbarga,Rabi,Coconut,Black,Basin,21,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,44.0,45186
2004,Gulbarga,Rabi,Coconut,Black,Basin,11,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,33.0,238542
2004,Gulbarga,Rabi,Coconut,Black,Basin,4,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,14.0,1516
2004,Gulbarga,Rabi,Coconut,Black,Basin,15,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,56.0,57259
2004,Gulbarga,Rabi,Coconut,Black,Basin,8,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,26.0,234779
2004,Gulbarga,Zaid,Coconut,Black,Basin,29,23.360082191780823,1473.22,12.33547397260274,0.4632272727272727,98.0,1493
