FPAR,Avg_Salinity_Index,EVI,Rain_Temp_Ratio,Rainfall,Wind_Mean,Temp_Min,Wind_Max,Temp_Max,District,Clay,LAI,Nitrogen,Soil_Moisture_mm,pH,LST_Kelvin,Dominant_Soil_Texture,AP Ratio,Temp_Mean,Avg Humidity,Heat_Stress_Days,Silt,Growth,CN_Ratio,Crop Name,Organic_Carbon,Transplant,Season,NDVI_Season_Mean
6.3149949671671255,560.4940229941045,0.3116314170521451,11.23,220.43,1.4529166666666666,8.35,4.33,30.58,Bagerhat,28.25,2.968781250963403,3.89,12.078042549735049,5.73,297.294524997996,Loamy (Thịt/Phù sa),0.7722007722,19.631500000000003,55.0,0,49.52,Jan  to  March,8.73,Wheat,33.97,Dec,Rabi,0.5118091536297626
6.3149949671671255,560.4940229941045,0.3116314170521451,11.23,220.43,1.4529166666666666,8.35,4.33,30.58,Bagerhat,28.25,2.968781250963403,3.89,12.078042549735049,5.73,297.294524997996,Loamy (Thịt/Phù sa),2.247030879,19.631500000000003,60.0,0,49.52,Jan  to  March,8.73,Maize 2,33.97,Dec,Rabi,0.5118091536297626
6.3149949671671255,560.4940229941045,0.3116314170521451,11.23,220.43,1.4529166666666666,8.35,4.33,30.58,Bagerhat,28.25,2.968781250963403,3.89,12.078042549735049,5.73,297.294524997996,Loamy (Thịt/Phù sa),1.847881242,19.631500000000003,72.5,0,49.52,Dec to March,8.73,Boro,33.97,Nov,Rabi,0.5118091536297626
6.3149949671671255,560.4940229941045,0.3116314170521451,11.23,220.43,1.4529166666666666,8.35,4.33,30.58,Bagerhat,28.25,2.968781250963403,3.89,12.078042549735049,5.73,297.294524997996,Loamy (Thịt/Phù sa),3.50877193,19.631500000000003,80.0,0,49.52,Dec to March,8.73,Sweet Potato,33.97,Nov,Rabi,0.5118091536297626
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),4.994778068,28.878196721311475,70.0,54,49.52,No need to do,8.73,Mango,33.97,April,Kharif 1,0.2671469327157075
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),26.71578947,28.878196721311475,82.5,54,49.52,No need to do,8.73,Jack Fruit,33.97,April,Kharif 1,0.2671469327157075
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),11.4,28.878196721311475,80.0,54,49.52,No need to do,8.73,Ripe Papaya,33.97,April,Kharif 1,0.2671469327157075
4.169441903407631,883.0219275597883,0.3081769511973575,22.73,656.33,2.48188524590164,16.01,5.86,41.26,Bagerhat,28.25,1.8112869864403789,3.89,14.77098688500372,5.73,301.5819733879906,Loamy (Thịt/Phù sa),1.118843608,28.878196721311475,72.5,54,49.52,April to july,8.73,Aus,33.97,March,Kharif 1,0.2671469327157075
6.3149949671671255,560.4940229941045,0.3116314170521451,11.23,220.43,1.4529166666666666,8.35,4.33,30.58,Bagerhat,28.25,2.968781250963403,3.89,12.078042549735049,5.73,297.294524997996,Loamy (Thịt/Phù sa),1.386363636,19.631500000000003,87.5,0,49.52,March to July,8.73,Karala,33.97,Feb,Rabi,0.5118091536297626
5.780086386688027,517.8162711223541,0.3431915358837492,52.27,1451.65,2.063739837398374,18.56,7.47,33.57,Bagerhat,28.25,2.788745853500626,3.89,25.24011305318693,5.73,300.15712075135025,Loamy (Thịt/Phù sa),10.71948357,27.76869918699187,65.0,0,49.52,Nov to Aug,8.73,Sugarcane,33.97,Oct,Kharif 2,0.507816116388428
